Year,Event Date,Artist,Venue,City
2019,31-12-2019,404,Windmill Brixton,London
2019,31-12-2019,Backwoods Creek,Under the Bridge,London
2019,31-12-2019,Craig David,Central Hall Westminster,London
2019,31-12-2019,The Golden Dregs,The Social,London
2019,31-12-2019,Drahla,The Social,London
2019,31-12-2019,Jane Birkin,Decimo,London
2019,31-12-2019,Ese & The Vooduu People,The Troubadour,London
2019,30-12-2019,Spang Sisters,Windmill Brixton,London
2019,30-12-2019,Blossoms,Top of the Pops,London
2019,28-12-2019,DJ Zinc,XOYO,London
2019,28-12-2019,The Fallen Women,The Lexington,London
2019,28-12-2019,DJ Die,XOYO,London
2019,28-12-2019,Jumping Jack Frost,XOYO,London
2019,28-12-2019,Dillinja,XOYO,London
2019,28-12-2019,Bryan Gee,XOYO,London
2019,28-12-2019,Corduroy,100 Club,London
2019,28-12-2019,Dub Phizix & Strategy,XOYO,London
2019,27-12-2019,Danny Toeman,Hootananny,London
2019,27-12-2019,Corduroy,100 Club,London
2019,27-12-2019,The Correspondents,The Old Queens Head,London
2020,31-12-2020,Daniel Jeanrenaud,Private Venue,London
2020,31-12-2020,Kylie Minogue,,London
2020,31-12-2020,Justin Wells,Laurel County Public Library,London
2020,31-12-2020,Kylie Minogue,LH3 Studios,London
2020,31-12-2020,Wes Nelson,Top of the Pops,London
2020,31-12-2020,Freya Ridings,Private Venue,London
2020,29-12-2020,black midi,Windmill Brixton,London
2020,28-12-2020,m-orchestra,Private Venue,London
2020,26-12-2020,Daniel Jeanrenaud,Private Venue,London
2020,25-12-2020,Mabel,BBC Television Centre,London
2020,25-12-2020,Gabriella Cilmi,Private Venue,London
2020,24-12-2020,Calum Scott,Britain's Got Talent,London
2020,22-12-2020,Palm Reader,Blondie's Bar,London
2020,22-12-2020,Jim Bob,Private Venue,London
2020,22-12-2020,Freya Ridings,Private Venue,London
2020,21-12-2020,Goldie,BBC Radio 6 Music Session,London
2020,21-12-2020,Fontaines D.C.,NME Radio,London
