Station,EntryTapCount,ExitTapCount,TotalFlow
Kings Cross St Pancras,83045.04437328455,84036.12991765782,167081.17429094235
Victoria,72813.10989010989,75205.50595238095,148018.61584249084
London Bridge,67937.46248856359,65931.7900274474,133869.25251601098
Oxford Circus,61453.050320219576,70413.22598353156,131866.27630375113
Stratford,64756.77335164835,66618.34798534798,131375.12133699632
Waterloo,64857.69350411711,66052.62808783166,130910.32159194877
Liverpool Street,61213.5642432556,63568.598994055785,124782.16323731138
Tottenham Court Road,50952.14638609332,50870.6857273559,101822.83211344923
Paddington,39487.71088746569,39114.9043915828,78602.61527904849
Bond Street,38907.83195970696,39399.817765567765,78307.64972527472
Canary Wharf,35065.76983035305,40885.95460797799,75951.72443833105
Green Park,32681.815187557182,38411.7076852699,71093.52287282709
Leicester Square,35323.394036697246,33167.6004587156,68490.99449541284
Bank,32457.942607897152,33162.65243342516,65620.59504132232
Piccadilly Circus,33184.147112740604,32313.857470210816,65498.00458295142
Euston,29036.962454212455,34923.85805860806,63960.820512820515
Farringdon,30460.194787379973,29622.802926383174,60082.99771376314
Liverpool St NR,30632.213529682467,27798.693511274734,58430.9070409572
South Kensington,28481.63186813187,29350.701007326006,57832.332875457876
Vauxhall,28767.27882406982,27263.642168121267,56030.92099219109
Brixton,27837.29546495648,27091.244617498854,54928.540082455336
North Greenwich,25362.865993575033,26962.994492886646,52325.86048646168
Baker Street,25395.935557586836,25535.144424131628,50931.07998171847
Paddington EL,25038.98044965787,24916.723362658846,49955.703812316715
Holborn,23321.07840440165,25352.43558000917,48673.51398441082
Hammersmith D&P,24282.98441796517,24317.19477543538,48600.17919340055
Westminster,22075.8060522696,23117.169188445667,45192.97524071527
Moorgate,21456.04483074108,23502.012808783165,44958.057639524246
Camden Town,21448.63832720588,22988.16681985294,44436.805147058825
Clapham Junction,22147.48465414567,22250.817224003666,44398.30187814934
Finsbury Park,21917.693223443224,21213.740842490843,43131.43406593407
Old Street,19643.33180568286,20261.890925756186,39905.22273143905
Barking,19542.843406593405,19526.84706959707,39069.69047619047
Embankment,19895.84746543779,19061.56589861751,38957.4133640553
Wembley Park,19224.450297755382,19586.062299587724,38810.512597343106
Tower Hill,18819.248047772162,19842.297657326595,38661.54570509876
Earls Court,18740.856619331196,19039.22400366468,37780.080622995876
Wimbledon,18445.43125572869,19180.51099908341,37625.9422548121
Canary Wharf EL,18456.68068068068,18550.817817817817,37007.4984984985
Charing Cross,18383.732016925245,17236.299952985424,35620.03196991067
Highbury & Islington,17195.529546495647,18216.539624370133,35412.06917086578
Seven Sisters,17287.907466788824,17165.84745762712,34453.75492441594
Shepherds Bush,17419.53630514706,16525.261029411766,33944.797334558825
Knightsbridge,17327.605069124424,16270.401843317972,33598.0069124424
Walthamstow Central,15619.234081539167,17575.050847457627,33194.28492899679
Ealing Broadway,16350.905677655677,16608.19368131868,32959.09935897436
Whitechapel,16326.419025522042,16622.10765661253,32948.52668213457
Elephant & Castle,16753.595695970696,15880.25228937729,32633.847985347984
Covent Garden,14430.32666015625,17993.77685546875,32424.103515625
Warren Street,15797.561467889907,16344.475688073395,32142.037155963302
Canning Town,15989.301420064132,16052.678424186899,32041.97984425103
Sloane Square,15389.21662817552,15438.570438799075,30827.787066974597
