Station,EntryTapCount,ExitTapCount,TotalFlow
Kings Cross St Pancras,181536467,183702980,365239447
Victoria,159023832,164248825,323272657
London Bridge,148511293,144126893,292638186
Oxford Circus,134336368,153923312,288259680
Stratford,141428793,145494472,286923265
Waterloo,141778918,144391045,286169963
Liverpool Street,133874065,139024526,272898591
Tottenham Court Road,111381392,111203319,222584711
Paddington,86320136,85505181,171825317
Bond Street,84974705,86049202,171023907
Canary Wharf,76478444,89172267,165650711
Green Park,71442448,83967993,155410441
Leicester Square,77004999,72305369,149310368
Bank,70693399,72228257,142921656
Piccadilly Circus,72407809,70508837,142916646
Euston,63416726,76273706,139690432
Farringdon,66616446,64785070,131401516
Liverpool St NR,66563800,60406561,126970361
South Kensington,62203884,64101931,126305815
Vauxhall,62626366,59352949,121979315
Brixton,60768816,59140187,119909003
North Greenwich,55265685,58752365,114018050
Baker Street,55566307,55870896,111437203
Holborn,50863272,55293662,106156934
Hammersmith D&P,52985472,53060119,106045591
Westminster,48147333,50418546,98565879
Moorgate,46902914,51375400,98278314
Clapham Junction,48347959,48573534,96921493
Camden Town,46672237,50022251,96694488
Finsbury Park,47868242,46330810,94199052
Old Street,42861750,44211446,87073196
Barking,42681570,42646634,85328204
Wembley Park,41966975,42756374,84723349
Embankment,43173989,41363598,84537587
Tower Hill,40969503,43196682,84166185
Earls Court,40911290,41562626,82473916
Wimbledon,40247931,41851875,82099806
Highbury & Islington,37537841,39766706,77304547
Charing Cross,39102198,36661610,75763808
Seven Sisters,37739502,37473045,75212547
Shepherds Bush,37904911,35958968,73863879
Knightsbridge,37600903,35306772,72907675
Walthamstow Central,34096788,38366336,72463124
Ealing Broadway,35710378,36272295,71982673
Elephant & Castle,36589853,34682471,71272324
Whitechapel,35183433,35820642,71004075
Warren Street,34438684,35630957,70069641
Canning Town,34904645,35042997,69947642
Sloane Square,33317654,33424505,66742159
Covent Garden,29553309,36851255,66404564
Tooting Broadway,32772071,32552067,65324138
Tottenham Hale,33219315,31852824,65072139
Notting Hill Gate,30529515,32622744,63152259
Angel,30549439,32212047,62761486
Mile End,29233303,28986017,58219320
Bethnal Green,29594226,28399952,57994178
Gloucester Road,28807829,28089305,56897134
East Ham,28578347,27807266,56385613
Canada Water,27833974,28363433,56197407
Richmond,28016537,27959270,55975807
Aldgate East,26967465,25845702,52813167
Marble Arch,26446444,26036947,52483391
Balham,26125118,26085852,52210970
St Pauls,25280705,26270768,51551473
Paddington EL,25614877,25489808,51104685
Wood Green,25592161,25040456,50632617
Southwark,24161754,24965873,49127627
Monument,23590262,25265259,48855521
Chancery Lane,23187103,24889674,48076777
Blackfriars,22618495,25362497,47980992
St James's Park,23576620,24151337,47727957
Leyton,24564528,23120280,47684808
Euston Square,21793694,25832249,47625943
High Street Kensington,23171188,22599035,45770223
Harrow-on-the-Hill,22134340,23485472,45619812
Blackhorse Road,23403600,22075089,45478689
Upton Park,22744382,21980563,44724945
Morden,22759133,21854644,44613777
Marylebone,21436814,22893998,44330812
Turnpike Lane,21773585,22015477,43789062
Stockwell,22975131,20130500,43105631
Romford,20925837,21727904,42653741
Hammersmith C&H,21842446,20539800,42382246
Clapham Common,20005151,22320267,42325418
Woolwich Arsenal DLR,20830743,20738579,41569322
White City,20715456,20623558,41339014
West Hampstead,21299750,19866027,41165777
Russell Square,20263323,20761324,41024647
Leytonstone,19929158,19933381,39862539
Ilford,19199445,19860456,39059901
Pimlico,19605759,19176391,38782150
Finchley Road,19354915,18574726,37929641
Bermondsey,19096040,18773626,37869666
Fulham Broadway,18806451,18998093,37804544
