Unnamed: 0,Start_Station,End_Station,regular_total_time_min,regular_walking_time_min,Frequency,accessible_total_time_min,time_diff,eta,Start_Station_Original,End_Station_Original,Start_Station_Match_Score,End_Station_Match_Score
116,King's Cross St. Pancras Underground Station,Seven Sisters,16.816666666666666,8.766666666666667,25,154,137.18333333333334,9.157581764122892,King's Cross St. Pancras,Seven Sisters,1.0,1.0
98,Clapton Rail Station,Seven Sisters,25.016666666666666,4.0,26,206,180.98333333333332,8.234510326449035,Clapton,Seven Sisters,1.0,1.0
16,Stratford,Woodford Station,13.933333333333334,2.933333333333333,53,74,60.06666666666666,5.311004784688995,Stratford,Woodford,1.0,1.0
113,Custom House,Abbey Wood,15.416666666666666,5.333333333333333,25,80,64.58333333333333,5.1891891891891895,Custom House EL,Abbey Wood,1.0,1.0
109,Belsize Park Underground Station,Colindale Underground Station,17.933333333333334,3.816666666666667,25,67,49.06666666666666,3.7360594795539033,Belsize Park,Colindale,1.0,1.0
13,Colindale Underground Station,Belsize Park Underground Station,18.066666666666663,4.45,55,67,48.93333333333334,3.708487084870849,Colindale,Belsize Park,1.0,1.0
41,Colliers Wood Underground Station,Clapham Common Underground Station,11.966666666666669,2.966666666666667,33,44,32.03333333333333,3.676880222841225,Colliers Wood,Clapham Common,1.0,1.0
118,Gants Hill Underground Station,Stratford,13.15,1.2,25,45,31.85,3.4220532319391634,Gants Hill,Stratford,1.0,1.0
81,Chalk Farm Underground Station,Hendon Central Station,16.316666666666666,3.3,28,54,37.68333333333334,3.3094994892747702,Chalk Farm,Hendon Central,1.0,1.0
35,Hendon Central Station,Chalk Farm Underground Station,14.55,3.35,34,48,33.45,3.2989690721649483,Hendon Central,Chalk Farm,1.0,1.0
9,Uxbridge Underground Station,Eastcote Station,14.233333333333333,4.233333333333333,66,46,31.766666666666666,3.2318501170960188,Uxbridge,Eastcote,1.0,1.0
21,Tooting Broadway Station,Morden Underground Station,11.333333333333334,5.333333333333333,46,36,24.666666666666664,3.176470588235294,Tooting Broadway,Morden,1.0,1.0
54,Southgate Station,Manor House Underground Station,16.1,2.6166666666666667,31,51,34.9,3.167701863354037,Southgate,Manor House,1.0,1.0
11,Ilford Station,Gidea Park Station,16.7,3.5166666666666666,58,52,35.3,3.1137724550898205,Ilford,Gidea Park,1.0,1.0
117,Putney Bridge Station,Wimbledon Station,18.566666666666663,8.55,25,57,38.43333333333334,3.070017953321365,Putney Bridge,Wimbledon,1.0,1.0
43,East Putney Station,Wimbledon Station,14.916666666666666,6.9,33,45,30.083333333333336,3.016759776536313,East Putney,Wimbledon,1.0,1.0
39,Manor House Underground Station,Southgate Station,17.5,2.5,34,51,33.5,2.914285714285714,Manor House,Southgate,1.0,1.0
44,Finchley Central Station,Kentish Town,16.566666666666666,4.566666666666666,32,47,30.433333333333334,2.837022132796781,Finchley Central,Kentish Town,1.0,1.0
32,Parsons Green Underground Station,Wimbledon Station,21.53333333333333,9.516666666666667,36,61,39.46666666666667,2.8328173374613006,Parsons Green,Wimbledon,1.0,1.0
20,Clapham Common Underground Station,Colliers Wood Underground Station,12.766666666666667,2.7666666666666666,48,35,22.23333333333333,2.741514360313316,Clapham Common,Colliers Wood,1.0,1.0
121,Greenwich DLR Station,South Quay DLR Station,11.433333333333334,4.333333333333333,25,31,19.566666666666663,2.7113702623906706,Greenwich,South Quay,1.0,1.0
47,Archway Station,Woodside Park Station,16.316666666666666,3.183333333333333,32,43,26.683333333333334,2.635342185903984,Archway,Woodside Park,1.0,1.0
96,Custom House,Gallions Reach Station,10.116666666666667,2.1166666666666667,26,26,15.883333333333333,2.57001647446458,Custom House,Gallions Reach,1.0,1.0
84,Clapham South Station,South Wimbledon Station,16.85,6.85,28,43,26.15,2.551928783382789,Clapham South,South Wimbledon,1.0,1.0
93,Colliers Wood Underground Station,Morden Underground Station,9.1,5.1,27,23,13.9,2.527472527472528,Colliers Wood,Morden,1.0,1.0
0,Wimbledon Station,Parsons Green Underground Station,21.45,9.45,300,54,32.55,2.517482517482517,Wimbledon,Parsons Green,1.0,1.0
37,Walthamstow Central,Stoke Newington Rail Station,21.433333333333334,16.416666666666668,34,52,30.566666666666663,2.426127527216174,Walthamstow Central,Stoke Newington,1.0,1.0
99,South Wimbledon Station,Clapham South Station,16.116666666666667,6.833333333333333,26,39,22.883333333333333,2.419855222337125,South Wimbledon,Clapham South,1.0,1.0
87,West Hampstead Underground Station,Wembley Park Station,13.283333333333331,3.2666666666666666,28,32,18.71666666666667,2.409033877038896,West Hampstead LU,Wembley Park,0.8376344086021505,1.0
49,North Acton Station,South Ruislip,30.316666666666663,17.133333333333333,31,73,42.68333333333334,2.407916437603079,North Acton,South Ruislip,1.0,1.0
