Start,End,Frequency,Route
Kings Cross St Pancras,Victoria,9,Kings Cross St Pancras - Victoria
Oxford Circus,Victoria,9,Oxford Circus - Victoria
Kings Cross St Pancras,Bank,8,Kings Cross St Pancras - Bank
Canary Wharf,Kings Cross St Pancras,8,Canary Wharf - Kings Cross St Pancras
Liverpool Street,Stratford,7,Liverpool Street - Stratford
London Bridge,Kings Cross St Pancras,7,London Bridge - Kings Cross St Pancras
Kings Cross St Pancras,Waterloo,7,Kings Cross St Pancras - Waterloo
Victoria,Kings Cross St Pancras,7,Victoria - Kings Cross St Pancras
London Bridge,Waterloo,7,London Bridge - Waterloo
Oxford Circus,Stratford,7,Oxford Circus - Stratford
Stratford,Victoria,7,Stratford - Victoria
Victoria,Paddington,6,Victoria - Paddington
Tottenham Court Road,Waterloo,6,Tottenham Court Road - Waterloo
Waterloo,Green Park,6,Waterloo - Green Park
Kings Cross St Pancras,Paddington,6,Kings Cross St Pancras - Paddington
Kings Cross St Pancras,Stratford,6,Kings Cross St Pancras - Stratford
Kings Cross St Pancras,Oxford Circus,6,Kings Cross St Pancras - Oxford Circus
Oxford Circus,South Kensington,6,Oxford Circus - South Kensington
Waterloo,Kings Cross St Pancras,6,Waterloo - Kings Cross St Pancras
Victoria,Liverpool Street,6,Victoria - Liverpool Street
Piccadilly Circus,Kings Cross St Pancras,6,Piccadilly Circus - Kings Cross St Pancras
Bond Street,Oxford Circus,6,Bond Street - Oxford Circus
Oxford Circus,Tottenham Court Road,6,Oxford Circus - Tottenham Court Road
Piccadilly Circus,London Bridge,6,Piccadilly Circus - London Bridge
London Bridge,Camden Town,6,London Bridge - Camden Town
Green Park,Oxford Circus,6,Green Park - Oxford Circus
Stratford,Clapham Junction,6,Stratford - Clapham Junction
Stratford,Kings Cross St Pancras,5,Stratford - Kings Cross St Pancras
Turnpike Lane,Piccadilly Circus,5,Turnpike Lane - Piccadilly Circus
Waterloo,Charing Cross,5,Waterloo - Charing Cross
Kings Cross St Pancras,Tottenham Court Road,5,Kings Cross St Pancras - Tottenham Court Road
Kings Cross St Pancras,Liverpool Street,5,Kings Cross St Pancras - Liverpool Street
Canary Wharf,Liverpool Street,5,Canary Wharf - Liverpool Street
Waterloo,Paddington,5,Waterloo - Paddington
Bank,Victoria,5,Bank - Victoria
