route_station,status,lat,lng,source,mode
Chadwell Heath,matched,51.568039,0.128958,transit_data,elizabeth-line
Beckton Park,matched,51.508793,0.054932,transit_data,dlr
West Finchley,matched,51.609426,-0.188362,transit_data,tube
West India Quay,matched,51.50703,-0.020311,transit_data,dlr
Brixton LU,matched,51.462961,-0.114531,transit_data,tube
Chalk Farm,matched,51.5441,-0.1538,manual,tube
Island Gardens,matched,51.487811,-0.010139,transit_data,dlr
Bush Hill Park,matched,51.641519,-0.069221,transit_data,overground
Maidenhead,matched,51.518669,-0.72266,transit_data,elizabeth-line
Edgware,matched,51.613653,-0.274928,transit_data,tube
Kenton,matched,51.581786,-0.316946,transit_data,tube
Pontoon Dock,matched,51.502212,0.032115,transit_data,dlr
Heathrow Terminal 4 EL,matched,51.458268,-0.445463,transit_data,elizabeth-line
Hatton Cross,matched,51.466747,-0.423191,transit_data,tube
Langley,matched,51.412153,-0.06581,transit_data,overground
Osterley,matched,51.481274,-0.352224,transit_data,tube
Snaresbrook,matched,51.580678,0.02144,transit_data,tube
Hounslow East,matched,51.473213,-0.356474,transit_data,tube
Morden,matched,51.4022,-0.1948,manual,tube
West Ruislip,matched,51.569721,-0.437816,transit_data,tube
Clapham South,matched,51.452654,-0.147582,transit_data,tube
Custom House EL,matched,51.518757,0.027418,transit_data,elizabeth-line
Roding Valley,matched,51.617199,0.043647,transit_data,tube
Royal Albert,matched,51.50809,0.04572,transit_data,dlr
Hanger Lane,matched,51.530177,-0.292704,transit_data,tube
Barking,matched,51.539413,0.080988,transit_data,tube
Shepherd's Bush LU,matched,51.505579,-0.226375,transit_data,tube
Elverson Road,matched,51.469074,-0.016728,transit_data,dlr
Canons Park,matched,51.607701,-0.294693,transit_data,tube
Heathrow Terminal 5 LU,matched,51.470053,-0.490589,transit_data,elizabeth-line
Enfield Town,matched,51.652026,-0.079328,transit_data,overground
Greenford,matched,51.542657,-0.345789,transit_data,tube
Cockfosters,matched,51.65152,-0.149171,transit_data,tube
Bounds Green,matched,51.607034,-0.124235,transit_data,tube
East Finchley,matched,51.5874,-0.1648,manual,tube
Totteridge & Whetstone,matched,51.630597,-0.17921,transit_data,tube
Crossharbour,matched,51.495728,-0.014606,transit_data,dlr
Woolwich EL,matched,51.49119,0.07072,transit_data,elizabeth-line
Kensal Green,matched,51.530545,-0.22505,transit_data,tube
Cutty Sark,matched,51.481671,-0.01081,transit_data,dlr
Rickmansworth,matched,51.640207,-0.473273,transit_data,tube
Reading,matched,51.4584,-0.9692,manual,rail
Watford Junction,matched,51.663908,-0.395928,transit_data,overground
Uxbridge,matched,51.5461,-0.4787,manual,tube
Golders Green,matched,51.572259,-0.194039,transit_data,tube
Stockwell,matched,51.472184,-0.122644,transit_data,tube
Hendon Central,matched,51.5829,-0.2259,manual,tube
Ilford,matched,51.5588,0.0681,manual,rail
Queen's Park,matched,51.534443,-0.204882,transit_data,tube
Slough,matched,51.5105,-0.595,manual,rail
Royal Oak,matched,51.519113,-0.188748,transit_data,tube
Ealing Broadway,matched,51.514993,-0.302131,transit_data,tube
Epping,matched,51.6944,0.1038,manual,tube
Colindale,matched,51.595424,-0.249919,transit_data,tube
West Silvertown,matched,51.502838,0.02246,transit_data,dlr
Norwood Junction,matched,51.39702,-0.075216,transit_data,overground
South Ruislip,matched,51.556893,-0.399076,transit_data,tube
Newbury Park,matched,51.575726,0.090004,transit_data,tube
Southgate,matched,51.6322,-0.128,manual,tube
Loughton,matched,51.641443,0.055476,transit_data,tube
Fulham Broadway,matched,51.480081,-0.195422,transit_data,tube
Gidea Park,matched,51.581904,0.205964,transit_data,elizabeth-line
Tooting Bec,matched,51.435678,-0.159736,transit_data,tube
Emerson Park,matched,51.568642,0.220113,transit_data,overground
Ickenham,matched,51.56177,-0.442225,transit_data,tube
Cyprus,matched,51.508473,0.063925,transit_data,dlr
Eastcote,matched,51.576506,-0.397373,transit_data,tube
Hampstead,matched,51.556239,-0.177464,transit_data,tube
White City,matched,51.511959,-0.224297,transit_data,tube
Northwick Park,matched,51.578481,-0.318056,transit_data,tube
South Quay,matched,51.500053,-0.016133,transit_data,dlr
Latimer Road,matched,51.513389,-0.217799,transit_data,tube
