Start_Station,End_Station,Frequency,collection_time,start_matched,end_matched,regular_total_time_min,regular_walking_time_min,regular_transfers,regular_distance_km,accessibility_total_time_min,accessibility_walking_time_min,accessibility_transfers,accessibility_distance_km
Wimbledon,Parsons Green,300,2025-07-28 23:57:10,True,True,21.45,9.45,0.0,7.176,21.45,9.45,0.0,7.176
Tooting Broadway,Clapham North,93,2025-07-28 23:57:11,True,True,15.45,6.45,0.0,5.415,15.45,6.45,0.0,5.415
Euston NR,Maida Vale,87,2025-07-28 23:57:12,True,True,26.15,16.116666666666667,0.0,4.902,26.15,16.116666666666667,0.0,4.902
Hammersmith (H&C),Ladbroke Grove,83,2025-07-28 23:57:12,True,True,65.28333333333333,8.966666666666667,2.0,26.527,65.28333333333333,8.966666666666667,2.0,26.527
Euston NR,Willesden Junction,78,2025-07-28 23:57:13,True,True,34.43333333333333,5.9,0.0,7.636,34.43333333333333,5.9,0.0,7.636
Morden,Balham LU,78,2025-07-28 23:57:14,True,True,12.966666666666667,3.966666666666667,0.0,6.182,12.966666666666667,3.966666666666667,0.0,6.182
Romford,Manor Park,75,2025-07-28 23:57:14,True,True,83.6,14.116666666666667,1.0,28.879,83.6,14.116666666666667,1.0,28.879
Stratford,Seven Kings,70,2025-07-28 23:57:15,True,True,20.716666666666665,8.266666666666667,0.0,8.073,20.716666666666665,8.266666666666667,0.0,8.073
Barking,Elm Park,67,2025-07-28 23:57:16,True,True,21.2,9.75,0.0,9.088,21.2,9.75,0.0,9.088
Uxbridge,Eastcote,66,2025-07-28 23:57:17,True,True,14.233333333333333,4.233333333333333,0.0,7.048,14.233333333333333,4.233333333333333,0.0,7.048
London Bridge LU,Canning Town,60,2025-07-28 23:57:17,True,True,23.066666666666666,10.066666666666666,0.0,9.285,23.066666666666666,10.066666666666666,0.0,9.285
Ilford,Gidea Park,58,2025-07-28 23:57:18,True,True,15.7,3.5166666666666666,0.0,10.079,15.7,3.5166666666666666,0.0,10.079
Clapham Junction,Putney Bridge,56,2025-07-28 23:57:19,True,True,20.766666666666666,16.766666666666666,0.0,4.479,20.766666666666666,16.766666666666666,0.0,4.479
