Start_Station,End_Station,Frequency,collection_time,start_matched,end_matched,regular_total_time_min,regular_walking_time_min,regular_transfers,regular_distance_km,accessibility_total_time_min,accessibility_walking_time_min,accessibility_transfers,accessibility_distance_km
Wimbledon,Parsons Green,300,2025-07-29 11:56:14,True,True,21.45,9.45,0.0,7.176,21.45,9.45,0.0,7.176
Tooting Broadway,Clapham North,93,2025-07-29 11:56:15,True,True,15.45,6.45,0.0,5.415,15.45,6.45,0.0,5.415
Euston NR,Maida Vale,87,2025-07-29 11:56:16,True,True,26.15,16.116666666666667,0.0,4.902,26.15,16.116666666666667,0.0,4.902
Hammersmith (H&C),Ladbroke Grove,83,2025-07-29 11:56:16,True,True,62.35,9.6,2.0,22.154,62.35,9.6,2.0,22.154
Euston NR,Willesden Junction,78,2025-07-29 11:56:17,True,True,27.666666666666668,13.6,0.0,9.608,27.666666666666668,13.6,0.0,9.608
Morden,Balham LU,78,2025-07-29 11:56:18,True,True,12.966666666666667,3.966666666666667,0.0,6.182,12.966666666666667,3.966666666666667,0.0,6.182
Romford,Manor Park,75,2025-07-29 11:56:18,True,True,80.25,8.383333333333333,2.0,27.459,80.25,8.383333333333333,2.0,27.459
Stratford,Seven Kings,70,2025-07-29 11:56:19,True,True,21.533333333333335,9.15,0.0,8.081,21.533333333333335,9.15,0.0,8.081
Barking,Elm Park,67,2025-07-29 11:56:19,True,True,21.2,9.75,0.0,9.096,21.2,9.75,0.0,9.096
Uxbridge,Eastcote,66,2025-07-29 11:56:20,True,True,14.233333333333333,4.233333333333333,0.0,7.052,14.233333333333333,4.233333333333333,0.0,7.052
London Bridge LU,Canning Town,60,2025-07-29 11:56:21,True,True,21.066666666666666,10.066666666666666,0.0,9.285,21.066666666666666,10.066666666666666,0.0,9.285
Ilford,Gidea Park,58,2025-07-29 11:56:21,True,True,16.7,3.5166666666666666,0.0,10.079,16.7,3.5166666666666666,0.0,10.079
Clapham Junction,Putney Bridge,56,2025-07-29 11:56:22,True,True,21.766666666666666,16.766666666666666,0.0,4.389,21.766666666666666,16.766666666666666,0.0,4.389
Colindale,Belsize Park,55,2025-07-29 11:56:22,True,True,18.066666666666666,4.45,0.0,8.462,18.066666666666666,4.45,0.0,8.462
Paddington TfL,Southall,55,2025-07-29 11:56:23,True,True,30.433333333333334,13.383333333333333,0.0,15.252,30.433333333333334,13.383333333333333,0.0,15.252
Brixton LU,Balham LU,53,2025-07-29 11:56:24,True,True,31.0,1.9666666666666666,0.0,5.677,31.0,1.9666666666666666,0.0,5.677
Stratford,Woodford,53,2025-07-29 11:56:24,True,True,13.933333333333334,2.933333333333333,0.0,8.44,13.933333333333334,2.933333333333333,0.0,8.44
Victoria LU,Clapham Common,52,2025-07-29 11:56:25,True,True,20.633333333333333,7.033333333333333,1.0,5.556,20.633333333333333,7.033333333333333,1.0,5.556
Lewisham DLR,Island Gardens,51,2025-07-29 11:56:25,True,True,98.1,29.233333333333334,2.0,36.928,120.06666666666666,38.55,1.0,37.446
Shepherd's Bush LU,Perivale,50,2025-07-29 11:56:26,True,True,68.5,15.716666666666667,1.0,24.474,68.5,15.716666666666667,1.0,24.474
Clapham Common,Colliers Wood,48,2025-07-29 11:56:27,True,True,12.766666666666667,2.7666666666666666,0.0,5.763,12.766666666666667,2.7666666666666666,0.0,5.763
Tooting Broadway,Morden,46,2025-07-29 11:56:27,True,True,11.333333333333334,5.333333333333333,0.0,4.074,11.333333333333334,5.333333333333333,0.0,4.074
Clapham Junction,Queens Road Peckham,46,2025-07-29 11:56:28,True,True,23.45,6.433333333333334,0.0,9.546,23.45,6.433333333333334,0.0,9.546
Wood Green,Cockfosters,44,2025-07-29 11:56:28,True,True,100.66666666666667,17.133333333333333,2.0,41.92,100.66666666666667,17.133333333333333,2.0,41.92
London Bridge LU,Stockwell,44,2025-07-29 11:56:29,True,True,19.616666666666667,8.6,0.0,6.01,19.616666666666667,8.6,0.0,6.01
Edgware,Golders Green,43,2025-07-29 11:56:30,True,True,97.68333333333334,23.216666666666665,2.0,25.856,97.68333333333334,23.216666666666665,2.0,25.856
Turnpike Lane,Oakwood,42,2025-07-29 11:56:30,True,True,98.71666666666667,12.4,1.0,39.067,98.71666666666667,12.4,1.0,39.067
Balham LU,Morden,42,2025-07-29 11:56:31,True,True,14.016666666666667,4.016666666666667,0.0,6.178,14.016666666666667,4.016666666666667,0.0,6.178
Woolwich EL,Abbey Wood,40,2025-07-29 11:56:32,True,True,7.7,2.6166666666666667,0.0,3.636,7.7,2.6166666666666667,0.0,3.636
Canary Wharf EL,Abbey Wood,39,2025-07-29 11:56:32,True,True,22.2,8.116666666666667,0.0,11.118,22.2,8.116666666666667,0.0,11.118
Canary Wharf DLR,Island Gardens,39,2025-07-29 11:56:33,True,True,80.76666666666667,13.633333333333333,2.0,31.251,83.35,30.05,1.0,31.697
Brixton LU,Borough,36,2025-07-29 11:56:34,True,True,30.833333333333332,4.55,0.0,5.15,30.833333333333332,4.55,0.0,5.15
Parsons Green,Wimbledon,36,2025-07-29 11:56:34,True,True,21.533333333333335,9.516666666666667,0.0,7.171,21.533333333333335,9.516666666666667,0.0,7.171
Woolwich Arsenal,Canning Town,35,2025-07-29 11:56:35,True,True,21.35,7.3,0.0,7.371,21.35,7.3,0.0,7.371
Heathrow Terminals 123 LU,Osterley,35,2025-07-29 11:56:36,True,True,17.883333333333333,5.25,0.0,8.299,17.883333333333333,5.25,0.0,8.299
Hendon Central,Chalk Farm,34,2025-07-29 11:56:36,True,True,14.55,3.35,0.0,7.327,14.55,3.35,0.0,7.327
Cutty Sark,Heron Quays,34,2025-07-29 11:56:37,True,True,25.216666666666665,15.35,0.0,3.676,25.216666666666665,15.35,0.0,3.676
Walthamstow Central,Stoke Newington,34,2025-07-29 11:56:38,True,True,21.433333333333334,16.416666666666668,0.0,4.767,21.433333333333334,16.416666666666668,0.0,4.767
Heathrow Terminal 5 LU,Hounslow East,34,2025-07-29 11:56:38,True,True,36.983333333333334,9.75,0.0,12.329,36.983333333333334,9.75,0.0,12.329
Manor House,Southgate,34,2025-07-29 11:56:39,True,True,17.5,2.5,0.0,8.074,17.5,2.5,0.0,8.074
Goodmayes,Maryland,33,2025-07-29 11:56:39,True,True,47.766666666666666,18.766666666666666,1.0,13.797,47.766666666666666,18.766666666666666,1.0,13.797
Colliers Wood,Clapham Common,33,2025-07-29 11:56:40,True,True,11.966666666666667,2.966666666666667,0.0,5.758,11.966666666666667,2.966666666666667,0.0,5.758
Tottenham Court Road,King's Cross St. Pancras,33,2025-07-29 11:56:41,True,True,23.65,5.633333333333334,0.0,3.011,23.65,5.633333333333334,0.0,3.011
East Putney,Wimbledon,33,2025-07-29 11:56:41,True,True,14.916666666666666,6.9,0.0,4.955,14.916666666666666,6.9,0.0,4.955
Finchley Central,Kentish Town,32,2025-07-29 11:56:42,True,True,16.566666666666666,4.566666666666666,0.0,7.75,16.566666666666666,4.566666666666666,0.0,7.75
Shenfield,Chadwell Heath,32,2025-07-29 11:56:42,True,True,44.61666666666667,8.416666666666666,1.0,20.478,44.61666666666667,8.416666666666666,1.0,20.478
Southfields,West Brompton,32,2025-07-29 11:56:43,True,True,62.9,8.683333333333334,1.0,18.126,62.9,8.683333333333334,1.0,18.126
Archway,Woodside Park,32,2025-07-29 11:56:44,True,True,16.316666666666666,3.183333333333333,0.0,8.04,16.316666666666666,3.183333333333333,0.0,8.04
Paddington TfL,Wood Lane,32,2025-07-29 11:56:44,True,True,68.68333333333334,10.1,1.0,31.952,68.68333333333334,10.1,1.0,31.952
North Acton,South Ruislip,31,2025-07-29 11:56:45,True,True,30.316666666666666,17.133333333333333,0.0,11.564,30.316666666666666,17.133333333333333,0.0,11.564
Shepherd's Bush Market,Royal Oak,31,2025-07-29 11:56:45,True,True,93.73333333333333,7.9,2.0,39.043,93.73333333333333,7.9,2.0,39.043
Tooting Bec,Morden,31,2025-07-29 11:56:46,True,True,23.783333333333335,5.95,1.0,6.559,23.783333333333335,5.95,1.0,6.559
Paddington TfL,Baker Street,31,2025-07-29 11:56:47,True,True,76.78333333333333,24.916666666666668,1.0,25.756,76.78333333333333,24.916666666666668,1.0,25.756
Farringdon,King's Cross St. Pancras,31,2025-07-29 11:56:47,True,True,7.683333333333334,4.783333333333333,0.0,2.115,7.683333333333334,4.783333333333333,0.0,2.115
Southgate,Manor House,31,2025-07-29 11:56:48,True,True,16.1,2.6166666666666667,0.0,8.088,16.1,2.6166666666666667,0.0,8.088
Archway,Euston LU,31,2025-07-29 11:56:48,True,True,17.2,7.75,0.0,4.878,17.2,7.75,0.0,4.878
Waterloo LU,Bank and Monument,31,2025-07-29 11:56:49,True,True,10.05,5.883333333333334,0.0,2.6,10.05,5.883333333333334,0.0,2.6
Reading,Slough,30,2025-07-29 11:56:50,True,True,31.333333333333332,11.316666666666666,0.0,28.829,31.333333333333332,11.316666666666666,0.0,28.829
Ealing Broadway,Heathrow Terminals 2 & 3 EL,30,2025-07-29 11:56:50,True,True,23.333333333333332,5.316666666666666,0.0,14.661,23.333333333333332,5.316666666666666,0.0,14.661
Ealing Broadway,West Ealing,30,2025-07-29 11:56:51,True,True,8.416666666666666,5.416666666666667,0.0,1.742,8.416666666666666,5.416666666666667,0.0,1.742
Golders Green,Edgware,30,2025-07-29 11:56:51,True,True,105.8,23.766666666666666,2.0,24.877,105.8,23.766666666666666,2.0,24.877
King's Cross St. Pancras,Farringdon,30,2025-07-29 11:56:52,True,True,8.25,4.033333333333333,0.0,2.231,8.25,4.033333333333333,0.0,2.231
Leicester Square,Green Park,30,2025-07-29 11:56:53,True,True,50.6,9.3,1.0,16.622,50.6,9.3,1.0,16.622
Upminster,Dagenham Heathway,30,2025-07-29 11:56:53,True,True,15.2,4.966666666666667,0.0,7.882,15.2,4.966666666666667,0.0,7.882
Southfields,Wimbledon,30,2025-07-29 11:56:54,True,True,72.01666666666667,14.983333333333333,2.0,26.983,78.26666666666667,29.683333333333334,1.0,28.696
High Barnet,East Finchley,30,2025-07-29 11:56:54,True,True,68.61666666666666,20.733333333333334,1.0,25.598,68.61666666666666,20.733333333333334,1.0,25.598
Notting Hill Gate,North Acton,30,2025-07-29 11:56:55,True,True,34.86666666666667,23.866666666666667,0.0,7.354,34.86666666666667,23.866666666666667,0.0,7.354
Tottenham Court Road,Green Park,29,2025-07-29 11:56:56,True,True,51.483333333333334,11.433333333333334,1.0,16.19,51.483333333333334,11.433333333333334,1.0,16.19
Barking,Walthamstow Queen's Road,29,2025-07-29 11:56:56,True,True,,,,,,,,
Richmond,Willesden Junction,29,2025-07-29 11:56:57,True,True,25.033333333333335,6.183333333333334,0.0,9.577,25.033333333333335,6.183333333333334,0.0,9.577
Colindale,Edgware,29,2025-07-29 11:56:57,True,True,22.75,6.75,0.0,4.86,22.75,6.75,0.0,4.86
Maidenhead,Iver,29,2025-07-29 11:56:58,True,True,51.05,23.466666666666665,1.0,18.992,51.05,23.466666666666665,1.0,18.992
Waterloo LU,Battersea Power Station,29,2025-07-29 11:56:58,True,True,17.833333333333332,9.066666666666666,0.0,5.208,17.833333333333332,9.066666666666666,0.0,5.208
Highgate,Totteridge & Whetstone,29,2025-07-29 11:56:59,True,True,28.083333333333332,14.016666666666667,0.0,8.54,28.083333333333332,14.016666666666667,0.0,8.54
Waterloo LU,Green Park,29,2025-07-29 11:57:00,True,True,45.61666666666667,16.433333333333334,0.0,19.846,45.61666666666667,16.433333333333334,0.0,19.846
Tottenham Court Road,Bank and Monument,29,2025-07-29 11:57:00,True,True,10.45,4.733333333333333,0.0,3.21,10.45,4.733333333333333,0.0,3.21
King's Cross St. Pancras,Oxford Circus,29,2025-07-29 11:57:01,True,True,9.333333333333334,5.066666666666666,0.0,2.665,9.333333333333334,5.066666666666666,0.0,2.665
King's Cross St. Pancras,Bank and Monument,29,2025-07-29 11:57:01,True,True,15.05,6.283333333333333,0.0,4.424,15.05,6.283333333333333,0.0,4.424
Ealing Broadway,West Drayton,29,2025-07-29 11:57:02,True,True,31.916666666666668,5.133333333333334,1.0,12.407,51.083333333333336,12.083333333333334,0.0,10.567
Shepherd's Bush LU,Marble Arch,29,2025-07-29 11:57:02,True,True,16.966666666666665,7.75,0.0,4.727,16.966666666666665,7.75,0.0,4.727
Paddington TfL,Oxford Circus,28,2025-07-29 11:57:03,True,True,14.516666666666667,6.066666666666666,0.0,3.646,14.516666666666667,6.066666666666666,0.0,3.646
Chalk Farm,Hendon Central,28,2025-07-29 11:57:04,True,True,16.316666666666666,3.3,0.0,7.321,16.316666666666666,3.3,0.0,7.321
Victoria LU,Charing Cross LU,28,2025-07-29 11:57:04,True,True,18.516666666666666,13.016666666666667,0.0,2.96,18.516666666666666,13.016666666666667,0.0,2.96
Canary Wharf LU,Waterloo LU,28,2025-07-29 11:57:05,True,True,16.116666666666667,8.433333333333334,0.0,7.536,16.116666666666667,8.433333333333334,0.0,7.536
Clapham South,South Wimbledon,28,2025-07-29 11:57:05,True,True,16.85,6.85,0.0,5.882,16.85,6.85,0.0,5.882
Hayes & Harlington,Acton Main Line,28,2025-07-29 11:57:06,True,True,18.05,4.583333333333333,0.0,10.974,18.05,4.583333333333333,0.0,10.974
Cutty Sark,Lewisham DLR,28,2025-07-29 11:57:07,True,True,8.683333333333334,2.0,0.0,1.475,8.683333333333334,2.0,0.0,1.475
West Hampstead LU,Wembley Park,28,2025-07-29 11:57:07,True,True,13.283333333333333,3.2666666666666666,0.0,6.735,13.283333333333333,3.2666666666666666,0.0,6.735
North Greenwich,Stratford,27,2025-07-29 11:57:08,True,True,14.7,6.7,0.0,5.254,14.7,6.7,0.0,5.254
Stratford,Canada Water,27,2025-07-29 11:57:09,True,True,16.55,5.466666666666667,0.0,8.954,16.55,5.466666666666667,0.0,8.954
Woodford,Stratford,27,2025-07-29 11:57:09,True,True,14.05,2.75,0.0,8.408,14.05,2.75,0.0,8.408
Goodmayes,Brentwood,27,2025-07-29 11:57:10,True,True,27.75,11.716666666666667,0.0,15.052,27.75,11.716666666666667,0.0,15.052
Victoria LU,Tottenham Court Road,27,2025-07-29 11:57:10,True,True,27.833333333333332,6.716666666666667,0.0,3.467,27.833333333333332,6.716666666666667,0.0,3.467
Colliers Wood,Morden,27,2025-07-29 11:57:11,True,True,9.1,5.1,0.0,2.765,9.1,5.1,0.0,2.765
Blackhorse Road,Rectory Road,27,2025-07-29 11:57:12,True,True,39.13333333333333,11.116666666666667,1.0,15.741,39.13333333333333,11.116666666666667,1.0,15.741
Clapham Common,Victoria LU,26,2025-07-29 11:57:12,True,True,21.15,7.716666666666667,1.0,5.554,21.15,7.716666666666667,1.0,5.554
Custom House,Gallions Reach,26,2025-07-29 11:57:13,True,True,10.116666666666667,2.1166666666666667,0.0,3.566,10.116666666666667,2.1166666666666667,0.0,3.566
Oxford Circus,Tottenham Court Road,26,2025-07-29 11:57:13,True,True,5.566666666666666,4.7,0.0,0.965,5.566666666666666,4.7,0.0,0.965
