commonName,lat_x,lon_x,is_pure_bus,id,lines,commonName_clean,line_id,line_name,mode_name,station_id,station_name,lat_y,lon_y,station_modes,station_name_clean
Abbeville Road,51.45264,-0.14249,1.0,490004889E,"355, 50",abbeville road,,,,,,,,,
Abbeville Road,51.45273,-0.1429,1.0,490004889W,"355, 50",abbeville road,,,,,,,,,
Abbey Lane,51.53378,-0.00718,1.0,490003025W,"108, 25, 276, 425, D8, N205, N25, N8",abbey lane,,,,,,,,,
Abbey Road,51.41598,-0.18575,1.0,490007938E,"131, 152, 200, 219, 57, 655, N155",abbey road,,,,,,,,,
Abbey Road,51.41611,-0.18536,1.0,490007938F,"131, 152, 200, 219, 57, 655, N155",abbey road,,,,,,,,,
Abbey Road,51.48939,0.12407,1.0,490006877S,"301, 469, B11",abbey road,,,,,,,,,
Abbey Road,51.52935,-0.2699,1.0,490003028E,"187, 224, 226",abbey road,,,,,,,,,
Abbey Road,51.53867,-0.27916,1.0,490003029W,112,abbey road,,,,,,,,,
Abbey Road,51.53918,-0.18908,1.0,490003027E,"31, N28, N31",abbey road,,,,,,,,,
Abbey Road,51.53997,-0.18668,1.0,490003027W,"31, N28, N31",abbey road,,,,,,,,,
,,,,,,,dlr,DLR,dlr,940GZZDLABR,Abbey Road DLR Station,51.531926,0.003737,['dlr'],abbey road dlr station
Abbey Road Studios / Grove End Road,51.53244,-0.17784,1.0,490003030N,"139, 189",abbey road studios / grove end road,,,,,,,,,
Abbey School,51.54777,0.0928,1.0,490003032S,145,abbey school,,,,,,,,,
Abbey Sports Centre,51.53479,0.07971,1.0,490003033W,"287, 368, 62, 687",abbey sports centre,,,,,,,,,
Abbey Street,51.49818,-0.07922,1.0,490003035S,"188, 42, 78",abbey street,,,,,,,,,
Abbey Street,51.49899,-0.07926,1.0,490003035N,"188, 42, 78",abbey street,,,,,,,,,
Abbey Wood,51.491247,0.121057,0.0,HUBABW,"180, 229, 244, 301, 469, 472, 602, 669, B11, Elizabeth line, N1, SL3, Southeastern, Thameslink",abbey wood,elizabeth,Elizabeth line,elizabeth-line,910GABWDXR,Abbey Wood,51.491241,0.121374,['elizabeth-line'],abbey wood
Abbey Wood / Florence Road,51.48969,0.1227,1.0,490006877L,"229, 301, 469, 602, 669, B11, SL3",abbey wood / florence road,,,,,,,,,
Abbey Wood Lane,51.52947,0.21338,1.0,490003037E,"165, 287, 652",abbey wood lane,,,,,,,,,
Abbey Wood Pumping Station,51.4975,0.1111,1.0,490003038E,469,abbey wood pumping station,,,,,,,,,
Abbey Wood Pumping Station,51.49789,0.11256,1.0,490012529W,469,abbey wood pumping station,,,,,,,,,
Abbey Wood Road,51.48934,0.12118,1.0,490003039E,"229, 244, 301, 469, 472, 602, 669, B11",abbey wood road,,,,,,,,,
Abbey Wood Road,51.48936,0.12143,1.0,490003039G,"229, 244, 301, 469, 472, 602, 669, B11",abbey wood road,,,,,,,,,
Abbey Wood Station,51.49163,0.12143,1.0,490001001Y,"180, 229, 244, 301, 469, 472, 602, 669, B11, N1, SL3",abbey wood station,,,,,,,,,
Abbots Gardens,51.58919,-0.16985,1.0,490003043W,"143, 653, H3, N20",abbots gardens,,,,,,,,,
