station_name,latitude,longitude,mode,lines,station_id
Abbeville Road,51.45264,-0.14249,bus,"355, 50",490004889E
Abbeville Road,51.45273,-0.1429,bus,"355, 50",490004889W
Abbey Lane,51.53378,-0.00718,bus,"108, 25, 276, 425, D8, N205, N25, N8",490003025W
Abbey Road,51.41598,-0.18575,bus,"131, 152, 200, 219, 57, 655, N155",490007938E
Abbey Road,51.41611,-0.18536,bus,"131, 152, 200, 219, 57, 655, N155",490007938F
Abbey Road,51.48939,0.12407,bus,"301, 469, B11",490006877S
Abbey Road,51.52935,-0.2699,bus,"187, 224, 226",490003028E
Abbey Road,51.53867,-0.27916,bus,112,490003029W
Abbey Road,51.53918,-0.18908,bus,"31, N28, N31",490003027E
Abbey Road,51.53997,-0.18668,bus,"31, N28, N31",490003027W
ABBEY ROAD - DLR,51.5318653,0.005308217,DLR,unknown,477.0
Abbey Road Studios / Grove End Road,51.53244,-0.17784,bus,"139, 189",490003030N
Abbey School,51.54777,0.0928,bus,145,490003032S
Abbey Sports Centre,51.53479,0.07971,bus,"287, 368, 62, 687",490003033W
Abbey Street,51.49818,-0.07922,bus,"188, 42, 78",490003035S
Abbey Street,51.49899,-0.07926,bus,"188, 42, 78",490003035N
Abbey Wood,51.491247,0.121057,bus,"180, 229, 244, 301, 469, 472, 602, 669, B11, Elizabeth line, N1, SL3, Southeastern, Thameslink",HUBABW
Abbey Wood / Florence Road,51.48969,0.1227,bus,"229, 301, 469, 602, 669, B11, SL3",490006877L
Abbey Wood Lane,51.52947,0.21338,bus,"165, 287, 652",490003037E
Abbey Wood Pumping Station,51.4975,0.1111,bus,469,490003038E
Abbey Wood Pumping Station,51.49789,0.11256,bus,469,490012529W
Abbey Wood Road,51.48934,0.12118,bus,"229, 244, 301, 469, 472, 602, 669, B11",490003039E
Abbey Wood Road,51.48936,0.12143,bus,"229, 244, 301, 469, 472, 602, 669, B11",490003039G
Abbey Wood Station,51.49163,0.12143,bus,"180, 229, 244, 301, 469, 472, 602, 669, B11, N1, SL3",490001001Y
Abbots Gardens,51.58919,-0.16985,bus,"143, 653, H3, N20",490003043W
Abbots Lane,51.50418,-0.08188,bus,"343, 381, 47, N199, N381",4900R0049J
Abbots Road,51.6079,-0.26537,bus,unknown,490014306N1
Abbots Way,51.39312,-0.04109,bus,"194, 356, 358",490003046W
Abbots Way,51.39323,-0.04143,bus,"194, 356, 358",490003046S
Abbotsbury Road,51.39513,-0.19282,bus,470,490010026S2
Abbotsbury Road,51.39545,-0.19323,bus,470,490010026N1
Abbotsford Avenue,51.58407,-0.09012,bus,"341, 67",490003042S
Abbotsford Avenue,51.58448,-0.08994,bus,"341, 67",490003042N
Abbott Road,51.51254,-0.00093,bus,"115, N15, N551",490003047W
Abbott Road,51.51281,-0.00104,bus,"115, 309, D8, N15, N551",490003047E
Abbott Road,51.51466,-0.00819,bus,D8,490003315I
Abbotts Road,51.51192,-0.38252,bus,"207, 427, N207",490010341G
Abbs Cross Academy,51.55342,0.2062,bus,"165, 365, 372",490003050W
Abbs Cross Academy,51.55362,0.20641,bus,"165, 365, 372",490003050E
Abbs Cross Gardens,51.56228,0.21257,bus,"165, 365, 372",490003049S
Abbs Cross Lane,51.5628,0.21169,bus,"193, 248, 365",490003049W
Abbs Cross Lane,51.56309,0.21461,bus,"165, 193, 248, 365, 372",490003049E
Aberconway Road,51.40146,-0.19104,bus,"157, 45, 470, N133",490010060W
Abercorn Road,51.60599,-0.307,bus,186,490003051E
Abercorn Road,51.60603,-0.30629,bus,186,490003051W
Abercorn Road,51.60664,-0.20706,bus,221,490003052N
Aberdeen Park,51.55056,-0.09823,bus,"19, 236, 263, 4, N19",490003053N
Aberdeen Road,51.36589,-0.09897,bus,"119, 166, 312, 405, 407, 412, 466, 468, 60, 645, N68",490013269S
Aberdeen Road,51.55306,-0.2425,bus,226,490003054W
Aberdeen Road,51.55308,-0.24184,bus,226,490003054E
Aberfoyle Road,51.41725,-0.1369,bus,"45, 60, N133",490003057S2
Abingdon Street,51.49759,-0.12561,bus,"87, N87",490003059E
Abinger Grove,51.48355,-0.03112,bus,"188, 199, 47, N1, N199",490007585E
Abinger Grove,51.48364,-0.03149,bus,"188, 199, 47, N1, N199",490007585W
Abinger Road,51.49679,-0.25005,bus,"272, 94",490003060W
Abinger Road,51.49697,-0.24967,bus,"272, 94",490003060E
Abney Park,51.56218,-0.07801,bus,"393, 476, 73, N73",490004202W
Abney Park,51.56226,-0.07828,bus,"393, 476, 73, N73",490004202E
Aboyne Road,51.56407,-0.25154,bus,112,490007991E
Acacia Road,51.40667,-0.1536,bus,"463, 633",490018877S
Acacia Road,51.40679,-0.15385,bus,"463, 633",490018877N
Acacia Road,51.42588,-0.37256,bus,"111, R70",490003064W
Acacia Road,51.42592,-0.37204,bus,"111, R70",490003064E1
Acacia Road,51.51305,-0.27003,bus,"266, 440, N266",490003063S
Acacia Road,51.51368,-0.26979,bus,"266, 440, N266",490003063N
Academy Road / Shooters Hill Road,51.47201,0.05506,bus,122,490012108N
Acer Avenue,51.52272,0.21748,bus,"165, 287, 652",490003066W
Acer Avenue,51.52283,0.21783,bus,"165, 287, 652",490003066E
Ackroyd Drive,51.51791,-0.03027,bus,"277, D6, D7, N277",490013846N
Ackroyd Drive,51.5202,-0.02611,bus,323,490016349X
Ackroyd Drive,51.52037,-0.02613,bus,323,490016349E
Acland Burghley School,51.55734,-0.13889,bus,4,490008592E
Acorn Gardens,51.4098,-0.0812,bus,410,490003069S
Acton Central,51.50821824,-0.261566477,London Overground,unknown,162.0
