Year,Event Date,Artist,Venue,City
2019,31-12-2019,404,Windmill Brixton,London
2019,31-12-2019,Backwoods Creek,Under the Bridge,London
2019,31-12-2019,Craig David,Central Hall Westminster,London
2019,31-12-2019,The Golden Dregs,The Social,London
2019,31-12-2019,Drahla,The Social,London
2019,31-12-2019,Jane Birkin,Decimo,London
2019,31-12-2019,Ese & The Vooduu People,The Troubadour,London
2019,30-12-2019,Spang Sisters,Windmill Brixton,London
2019,30-12-2019,Blossoms,Top of the Pops,London
2019,28-12-2019,DJ Zinc,XOYO,London
2019,28-12-2019,The Fallen Women,The Lexington,London
2019,28-12-2019,DJ Die,XOYO,London
2019,28-12-2019,Jumping Jack Frost,XOYO,London
2019,28-12-2019,Dillinja,XOYO,London
2019,28-12-2019,Bryan Gee,XOYO,London
2019,28-12-2019,Corduroy,100 Club,London
2019,28-12-2019,Dub Phizix & Strategy,XOYO,London
2019,27-12-2019,Danny Toeman,Hootananny,London
2019,27-12-2019,Corduroy,100 Club,London
2019,27-12-2019,The Correspondents,The Old Queens Head,London
2019,27-12-2019,London Concert Orchestra,Barbican Hall,London
2019,25-12-2019,Kylie Minogue,Rivoli Ballroom,London
2019,23-12-2019,Cheriton,Coate Studios,London
2019,23-12-2019,Laurie Bolger,Coate Studios,London
2019,23-12-2019,Isabelle Faust,Wigmore Hall,London
2019,23-12-2019,Leon Jacques,Coate Studios,London
2019,22-12-2019,The K’s,Amersham Arms,London
2019,22-12-2019,Serena Ryder,London Music Hall,London
2019,22-12-2019,Mark Morriss,Proud Embankment,London
2019,22-12-2019,Ralph McTell,The Half Moon,London
2019,21-12-2019,Steve Norman,Pizza Express High Holborn,London
2019,21-12-2019,Alter Bridge,The O2 Arena,London
2019,21-12-2019,Shinedown,The O2 Arena,London
2019,21-12-2019,Steve Harley & Cockney Rebel,Nell's Jazz and Blues,London
2019,21-12-2019,She Makes War,Kings Place Hall Two,London
2019,21-12-2019,Grimmates,Luna Lounge,Leytonstone
