route_station,status,lat,lng,source
Cutty Sark,matched,51.481675,-0.010802,bus_data
Shenfield,unmatched,,,
Shepherd's Bush LU,matched,51.504791,-0.219213,geocoding
Hendon Central,unmatched,,,
Oxford Circus,unmatched,,,
Baker Street,matched,51.66343,-0.07834,bus_data
Clapham Junction,matched,51.463724,-0.168997,bus_data
Forest Gate,matched,51.61547,0.00766,geocoding
Slough,unmatched,,,
Bounds Green,matched,51.51903,-0.44403,geocoding
Clapham North,unmatched,,,
Canning Town,matched,51.514029,0.008025,bus_data
Dagenham Heathway,matched,51.54222,0.14773,geocoding
Cockfosters,matched,51.64535,-0.14483,geocoding
Perivale,matched,51.64311,-0.1307,geocoding
Colliers Wood,unmatched,,,
North Acton,matched,51.53218,-0.26003,geocoding
Tottenham Court Road,matched,51.51602,-0.12874,bus_data
Seven Kings,matched,51.56118,0.10001,geocoding
Euston LU,matched,51.527365,-0.132754,geocoding
Goodmayes,unmatched,,,
Brixton LU,matched,51.462961,-0.114531,geocoding
Southgate,unmatched,,,
Barking,matched,51.539413,0.080988,bus_data
Romford,unmatched,,,
Golders Green,matched,51.51903,-0.44403,geocoding
Battersea Power Station,matched,51.48066,-0.14063,bus_data
East Finchley,unmatched,,,
Manor Park,matched,51.45872,-0.00162,bus_data
Woodford,unmatched,,,
Willesden Junction,matched,51.532556,-0.243006,bus_data
Archway,unmatched,,,
Finchley Central,matched,51.60227,-0.19393,bus_data
Gants Hill,unmatched,,,
Hammersmith (H&C),unmatched,,,
West Drayton,matched,51.52688,-0.43973,geocoding
Headstone Lane,matched,51.6039,-0.35668,bus_data
Canary Wharf EL,matched,51.503734,-0.019121,geocoding
Elephant & Castle LU,matched,51.494505,-0.099185,geocoding
Chadwell Heath,matched,51.58131,0.11665,geocoding
Bank and Monument,unmatched,,,
Enfield Town,unmatched,,,
West Brompton,matched,51.487168,-0.195593,bus_data
Waterloo LU,matched,51.504269,-0.113356,geocoding
Epping,unmatched,,,
Heron Quays,matched,51.503,-0.02515,bus_data
Hampstead,matched,51.56826,-0.18402,geocoding
Wimbledon Park,unmatched,,,
Ladbroke Grove,matched,51.47403,0.02025,geocoding
Queens Road Peckham,matched,51.47382,-0.05739,geocoding
Finsbury Park LU,matched,51.564778,-0.105876,geocoding
High Barnet,matched,51.51914,-0.34712,geocoding
Oakwood,unmatched,,,
Notting Hill Gate,matched,51.5096,-0.19299,geocoding
Wood Green,matched,51.38772,-0.06858,geocoding
Belsize Park,unmatched,,,
Elm Park,unmatched,,,
Chalk Farm,unmatched,,,
Canary Wharf DLR,matched,51.503734,-0.019121,geocoding
Clapham Common,unmatched,,,
Kentish Town,matched,51.550409,-0.140545,bus_data
Turnpike Lane,matched,51.47713,-0.3284,geocoding
Watford Junction,matched,51.663908,-0.395928,bus_data
King's Cross St. Pancras,unmatched,,,
Liverpool Street LU,matched,51.51794,-0.083162,geocoding
Southwark,matched,51.58103,-0.18766,geocoding
Heathrow Terminals 123 LU,matched,51.47276,-0.45676,geocoding
Victoria LU,matched,51.49647,-0.14598,geocoding
Custom House EL,matched,51.51006,0.02524,geocoding
Manor House,unmatched,,,
Morden,unmatched,,,
West Ealing,unmatched,,,
Prince Regent,matched,51.50957,0.0342,bus_data
Lewisham DLR,matched,51.47282,-0.01418,geocoding
Edgware Road (Bak),matched,51.59321,-0.25777,geocoding
Wood Lane,matched,51.54387,0.20249,bus_data
Stratford,matched,51.541508,-0.00241,bus_data
