line_id,line_name,mode_name,station_id,station_name,lat,lon,station_modes
bakerloo,Bakerloo,tube,940GZZLUBST,Baker Street Underground Station,51.522883,-0.15713,['tube']
bakerloo,Bakerloo,tube,940GZZLUCHX,Charing Cross Underground Station,51.50741,-0.127277,['tube']
bakerloo,Bakerloo,tube,940GZZLUEAC,Elephant & Castle Underground Station,51.494536,-0.100606,['tube']
bakerloo,Bakerloo,tube,940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,['tube']
bakerloo,Bakerloo,tube,940GZZLUERB,Edgware Road (Bakerloo) Underground Station,51.520299,-0.17015,['tube']
bakerloo,Bakerloo,tube,940GZZLUHAW,Harrow & Wealdstone Underground Station,51.592268,-0.335217,['tube']
bakerloo,Bakerloo,tube,940GZZLUHSN,Harlesden Underground Station,51.53631,-0.257883,['tube']
bakerloo,Bakerloo,tube,940GZZLUKEN,Kenton Underground Station,51.581756,-0.31691,['tube']
bakerloo,Bakerloo,tube,940GZZLUKPK,Kilburn Park Underground Station,51.534979,-0.194232,['tube']
bakerloo,Bakerloo,tube,940GZZLUKSL,Kensal Green Underground Station,51.530539,-0.225016,['tube']
bakerloo,Bakerloo,tube,940GZZLULBN,Lambeth North Underground Station,51.498808,-0.112315,['tube']
bakerloo,Bakerloo,tube,940GZZLUMVL,Maida Vale Underground Station,51.529777,-0.185758,['tube']
bakerloo,Bakerloo,tube,940GZZLUMYB,Marylebone Underground Station,51.522322,-0.163207,['tube']
bakerloo,Bakerloo,tube,940GZZLUNWY,North Wembley Underground Station,51.562551,-0.304,['tube']
bakerloo,Bakerloo,tube,940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,['tube']
bakerloo,Bakerloo,tube,940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,['tube']
bakerloo,Bakerloo,tube,940GZZLUPCC,Piccadilly Circus Underground Station,51.51005,-0.133798,['tube']
bakerloo,Bakerloo,tube,940GZZLUQPS,Queen's Park Underground Station,51.534158,-0.204574,['tube']
bakerloo,Bakerloo,tube,940GZZLURGP,Regent's Park Underground Station,51.523344,-0.146444,['tube']
bakerloo,Bakerloo,tube,940GZZLUSGP,Stonebridge Park Underground Station,51.543959,-0.275892,['tube']
bakerloo,Bakerloo,tube,940GZZLUSKT,South Kenton Underground Station,51.570232,-0.308433,['tube']
bakerloo,Bakerloo,tube,940GZZLUWJN,Willesden Junction Underground Station,51.532259,-0.244283,['tube']
bakerloo,Bakerloo,tube,940GZZLUWKA,Warwick Avenue Underground Station,51.523263,-0.183783,['tube']
bakerloo,Bakerloo,tube,940GZZLUWLO,Waterloo Underground Station,51.503299,-0.11478,['tube']
bakerloo,Bakerloo,tube,940GZZLUWYC,Wembley Central Underground Station,51.552304,-0.296852,['tube']
central,Central,tube,940GZZLUBKE,Barkingside Underground Station,51.585689,0.088585,['tube']
central,Central,tube,940GZZLUBKH,Buckhurst Hill Underground Station,51.626605,0.046757,"['bus', 'tube']"
central,Central,tube,940GZZLUBLG,Bethnal Green Underground Station,51.527222,-0.055506,['tube']
central,Central,tube,940GZZLUBND,Bond Street Underground Station,51.514304,-0.149723,['tube']
central,Central,tube,940GZZLUBNK,Bank Underground Station,51.513132,-0.090047,['tube']
central,Central,tube,940GZZLUCHL,Chancery Lane Underground Station,51.518247,-0.111583,['tube']
central,Central,tube,940GZZLUCWL,Chigwell Underground Station,51.617916,0.075041,"['bus', 'tube']"
central,Central,tube,940GZZLUDBN,Debden Underground Station,51.645386,0.083782,['tube']
central,Central,tube,940GZZLUEAN,East Acton Underground Station,51.516612,-0.247248,['tube']
central,Central,tube,940GZZLUEBY,Ealing Broadway Underground Station,51.515017,-0.301457,['tube']
