TravelDate,DayOFWeek,Station,EntryTapCount,ExitTapCount,DayOfWeek,Station_clean,line_id,line_name,mode_name,station_id,station_name,lat,lon,station_modes,station_name_clean
20190101,Tuesday,Abbey Wood,1366,1306,,abbey wood,elizabeth,Elizabeth line,elizabeth-line,910GABWDXR,Abbey Wood,51.491284,0.121087,['elizabeth-line'],abbey wood
20190101,Tuesday,Bond Street,28771,26461,,bond street,elizabeth,Elizabeth line,elizabeth-line,910GBONDST,Bond Street,51.51369,-0.149517,['elizabeth-line'],bond street
20190101,Tuesday,Canary Wharf,13656,19204,,canary wharf,elizabeth,Elizabeth line,elizabeth-line,910GCANWHRF,Canary Wharf,51.506203,-0.018834,['elizabeth-line'],canary wharf
20190101,Tuesday,Farringdon,4288,3507,,farringdon,elizabeth,Elizabeth line,elizabeth-line,910GFRNDXR,Farringdon,51.520188,-0.104915,['elizabeth-line'],farringdon
20190101,Tuesday,Liverpool Street,20457,20936,,liverpool street,elizabeth,Elizabeth line,elizabeth-line,910GLIVSTLL,Liverpool Street,51.51776,-0.086524,['elizabeth-line'],liverpool street
20190101,Tuesday,Paddington,32124,29549,,paddington,elizabeth,Elizabeth line,elizabeth-line,910GPADTLL,Paddington,51.516449,-0.177107,['elizabeth-line'],paddington
20190101,Tuesday,Tottenham Court Road,27627,22360,,tottenham court road,elizabeth,Elizabeth line,elizabeth-line,910GTOTCTRD,Tottenham Court Road,51.515075,-0.130263,['elizabeth-line'],tottenham court road
20190101,Tuesday,Whitechapel,6934,7521,,whitechapel,elizabeth,Elizabeth line,elizabeth-line,910GWCHAPXR,Whitechapel,51.51943,-0.060191,['elizabeth-line'],whitechapel
20190102,Wednesday,Abbey Wood,4088,3324,,abbey wood,elizabeth,Elizabeth line,elizabeth-line,910GABWDXR,Abbey Wood,51.491284,0.121087,['elizabeth-line'],abbey wood
20190102,Wednesday,Bond Street,52731,51442,,bond street,elizabeth,Elizabeth line,elizabeth-line,910GBONDST,Bond Street,51.51369,-0.149517,['elizabeth-line'],bond street
20190102,Wednesday,Canary Wharf,45351,63055,,canary wharf,elizabeth,Elizabeth line,elizabeth-line,910GCANWHRF,Canary Wharf,51.506203,-0.018834,['elizabeth-line'],canary wharf
20190102,Wednesday,Farringdon,27065,26454,,farringdon,elizabeth,Elizabeth line,elizabeth-line,910GFRNDXR,Farringdon,51.520188,-0.104915,['elizabeth-line'],farringdon
20190102,Wednesday,Liverpool Street,71756,78329,,liverpool street,elizabeth,Elizabeth line,elizabeth-line,910GLIVSTLL,Liverpool Street,51.51776,-0.086524,['elizabeth-line'],liverpool street
20190102,Wednesday,Paddington,57459,53131,,paddington,elizabeth,Elizabeth line,elizabeth-line,910GPADTLL,Paddington,51.516449,-0.177107,['elizabeth-line'],paddington
20190102,Wednesday,Tottenham Court Road,52577,50537,,tottenham court road,elizabeth,Elizabeth line,elizabeth-line,910GTOTCTRD,Tottenham Court Road,51.515075,-0.130263,['elizabeth-line'],tottenham court road
20190102,Wednesday,Whitechapel,16022,16335,,whitechapel,elizabeth,Elizabeth line,elizabeth-line,910GWCHAPXR,Whitechapel,51.51943,-0.060191,['elizabeth-line'],whitechapel
20190103,Thursday,Abbey Wood,4486,4052,,abbey wood,elizabeth,Elizabeth line,elizabeth-line,910GABWDXR,Abbey Wood,51.491284,0.121087,['elizabeth-line'],abbey wood
20190103,Thursday,Bond Street,57121,53634,,bond street,elizabeth,Elizabeth line,elizabeth-line,910GBONDST,Bond Street,51.51369,-0.149517,['elizabeth-line'],bond street
20190103,Thursday,Canary Wharf,51580,70558,,canary wharf,elizabeth,Elizabeth line,elizabeth-line,910GCANWHRF,Canary Wharf,51.506203,-0.018834,['elizabeth-line'],canary wharf
20190103,Thursday,Farringdon,35051,32939,,farringdon,elizabeth,Elizabeth line,elizabeth-line,910GFRNDXR,Farringdon,51.520188,-0.104915,['elizabeth-line'],farringdon
20190103,Thursday,Liverpool Street,81329,85803,,liverpool street,elizabeth,Elizabeth line,elizabeth-line,910GLIVSTLL,Liverpool Street,51.51776,-0.086524,['elizabeth-line'],liverpool street
20190103,Thursday,Paddington,58204,57733,,paddington,elizabeth,Elizabeth line,elizabeth-line,910GPADTLL,Paddington,51.516449,-0.177107,['elizabeth-line'],paddington
