Start_Station,End_Station,Count
Canary Wharf DLR,Lewisham DLR,50
Custom House,Beckton,46
Greenwich,Lewisham DLR,44
Eastcote,Uxbridge,43
Turnpike Lane,Cockfosters,43
South Woodford,Epping,42
South Quay,Lewisham DLR,41
Fulham Broadway,Wimbledon,40
Forest Gate,Shenfield,37
Manor House,Cockfosters,37
Balham LU,Morden,37
Belsize Park,Edgware,36
Perivale,West Ruislip,36
Highgate,High Barnet,35
Kingsbury,Stanmore,35
Archway,High Barnet,35
West Silvertown,Woolwich Arsenal,35
Snaresbrook,Epping,34
Southfields,Wimbledon,34
Arnos Grove,Cockfosters,34
Ladbroke Grove,Hammersmith (H&C),34
Chalk Farm,Edgware,33
Island Gardens,Lewisham DLR,33
Goldhawk Road,Hammersmith (H&C),32
Colindale,Edgware,32
Chadwell Heath,Shenfield,32
Royal Albert,Beckton,31
Putney Bridge,Wimbledon,31
Kew Gardens,Richmond,31
East Finchley,High Barnet,31
Shepherd's Bush Market,Hammersmith (H&C),31
Bushey,Watford Junction,30
Tooting Broadway,Morden,30
Clapham South,Morden,30
Kentish Town,High Barnet,30
Parsons Green,Wimbledon,30
Kilburn High Road,Euston NR,30
Hampstead,Edgware,30
Golders Green,Edgware,30
Westbourne Park,Hammersmith (H&C),30
Canons Park,Stanmore,29
Gidea Park,Shenfield,29
East Putney,Wimbledon,29
Crossharbour,Lewisham DLR,29
Wood Lane,Hammersmith (H&C),29
Headstone Lane,Watford Junction,29
Woodside Park,High Barnet,29
Clapham Common,Morden,29
Ruislip,Uxbridge,29
Royal Oak,Hammersmith (H&C),29
Goodmayes,Shenfield,29
Heron Quays,Lewisham DLR,28
Brixton LU,Morden,28
Queensbury,Stanmore,28
London City Airport,Woolwich Arsenal,27
Hatton Cross,Heathrow Terminal 5 LU,27
Newbury Park,Epping,27
Cutty Sark,Lewisham DLR,27
Carpenders Park,Watford Junction,27
West India Quay,Lewisham DLR,27
Hillingdon,Uxbridge,27
Redbridge,Epping,27
Bounds Green,Cockfosters,27
Southgate,Cockfosters,26
Elverson Road,Lewisham DLR,26
Royal Victoria,Beckton,26
Nine Elms,Battersea Power Station,26
Harrow & Wealdstone,Watford Junction,26
Wood Green,Cockfosters,26
Ilford,Shenfield,26
Maryland,Shenfield,26
Pontoon Dock,Woolwich Arsenal,26
Colliers Wood,Morden,26
Tufnell Park,High Barnet,26
King George V,Woolwich Arsenal,25
Highams Park,Chingford,25
Finchley Central,High Barnet,25
Hendon Central,Edgware,25
Tooting Bec,Morden,25
Seven Kings,Shenfield,25
Prince Regent,Beckton,25
Buckhurst Hill,Epping,25
Ruislip Manor,Uxbridge,25
Loughton,Epping,25
Queen's Park,Euston NR,24
Deptford Bridge,Lewisham DLR,24
Brent Cross,Edgware,24
Northolt,West Ruislip,24
North Wembley,Watford Junction,24
South Wimbledon,Morden,24
Hainault,Epping,24
Ickenham,Uxbridge,23
Harlesden,Watford Junction,23
Cyprus,Beckton,23
Romford,Shenfield,23
Hanger Lane,West Ruislip,23
North Acton,West Ruislip,23
Hounslow Central,Heathrow Terminal 5 LU,23
Wood Street,Chingford,23
Croxley,Watford,22
Woodford,Epping,22
Leytonstone,Epping,22
Anerley,West Croydon NR,22
South Ruislip,West Ruislip,22
Clapham North,Morden,22
Greenford,West Ruislip,22
Theydon Bois,Epping,22
Mill Hill East,High Barnet,22
Poplar,Lewisham DLR,22
Theobalds Grove,Cheshunt,22
Slough,Reading,22
Leyton,Epping,22
Gallions Reach,Beckton,21
Beckton Park,Beckton,21
Grange Hill,Epping,21
Amersham,Chesham,21
Woolwich EL,Abbey Wood,20
Debden,Epping,20
Wimbledon Park,Wimbledon,20
Stockwell,Morden,20
Stonebridge Park,Watford Junction,20
Manor Park,Shenfield,20
Epping,Roding Valley,20
Maidenhead,Twyford,20
Latimer Road,Hammersmith (H&C),20
Maidenhead,Reading,20
Roding Valley,Epping,20
Totteridge & Whetstone,High Barnet,19
Custom House EL,Abbey Wood,19
Heathrow Terminal 4 LU,Heathrow Terminal 5 LU,19
Chigwell,Epping,19
South Kenton,Watford Junction,19
West Finchley,High Barnet,19
Mudchute,Lewisham DLR,19
South Ealing,Heathrow Terminal 5 LU,19
Boston Manor,Heathrow Terminal 5 LU,19
Turkey Street,Cheshunt,19
Twyford,Reading,19
Bush Hill Park,Enfield Town,19
Turkey Street,Enfield Town,18
South Hampstead,Euston NR,18
Kensal Green,Euston NR,18
Bruce Grove,Enfield Town,18
Heathrow Terminal 4 EL,Heathrow Terminal 5 EL,18
Burnt Oak,Edgware,18
Ruislip Gardens,West Ruislip,18
Northfields,Heathrow Terminal 5 LU,18
Bruce Grove,Cheshunt,18
Gants Hill,Epping,18
Barking,Shenfield,18
Norwood Junction,West Croydon NR,18
Vauxhall LU,Morden,17
Barkingside,Epping,17
Wanstead,Epping,17
Heathrow Terminals 123 LU,Heathrow Terminal 5 LU,17
East Acton,West Ruislip,17
West Brompton,Wimbledon,17
Burnham,Reading,17
Osterley,Heathrow Terminal 5 LU,17
Langley,Twyford,17
Hatton Cross,Heathrow Terminals 123 LU,17
Hounslow East,Heathrow Terminal 5 LU,17
Kenton,Watford Junction,17
Chorleywood,Amersham,17
Hatch End,Watford Junction,17
Oakwood,Cockfosters,17
Harold Wood,Shenfield,17
Rickmansworth,Watford,17
West Hampstead LU,Kilburn,16
Cheshunt,Enfield Town,16
Harrow-on-the-Hill,Northwick Park,16
Shepherd's Bush LU,West Ruislip,16
Limehouse DLR,Lewisham DLR,16
Shepherd's Bush LU,White City,16
Hounslow West,Heathrow Terminal 5 LU,16
Edmonton Green,Cheshunt,15
Forest Hill,West Croydon NR,15
Forest Gate,Manor Park,15
Iver,Reading,15
Ealing Broadway,West Ealing,15
Watford,Amersham,15
Emerson Park,Shenfield,15
