id,naptanId,commonName,lat,lon,modes,lines
4900080165,4900080165,.Heathrow Central,51.47096,-0.45384,bus,
490008016N2,490008016N2,.Heathrow Central,51.47084,-0.45231,bus,
490000200E,490000200E,.Russell Square,51.52233,-0.12713,bus,"14, SL6"
490004889E,490004889E,Abbeville Road,51.45264,-0.14249,bus,"50, 355"
490004889W,490004889W,Abbeville Road,51.45273,-0.1429,bus,"355, 50"
490G00004889,490G00004889,Abbeville Road,51.45264,-0.14249,bus,"50, 355"
490003025W,490003025W,Abbey Lane,51.53378,-0.00718,bus,"108, 276, 25, 425, D8, N25, N205, N8"
490G00003025,490G00003025,Abbey Lane,51.53378,-0.00718,bus,"N205, N8, N25, D8, 25, 425, 276, 108"
490003027E,490003027E,Abbey Road,51.53918,-0.18908,bus,"N31, 31, N28"
490003027W,490003027W,Abbey Road,51.53997,-0.18668,bus,"N28, 31, N31"
490003028E,490003028E,Abbey Road,51.52935,-0.2699,bus,"224, 226, 187"
490003029W,490003029W,Abbey Road,51.53867,-0.27916,bus,112
490006877S,490006877S,Abbey Road,51.48939,0.12407,bus,"301, B11, 469"
490007938E,490007938E,Abbey Road,51.41598,-0.18575,bus,"655, 57, 200, 131, 219, N155, 152"
490007938F,490007938F,Abbey Road,51.41611,-0.18536,bus,"152, 219, 131, 200, 57, 655, N155"
490G00003027,490G00003027,Abbey Road,51.53918,-0.18908,bus,"31, N28, N31"
490G00003028,490G00003028,Abbey Road,51.52935,-0.2699,bus,"226, 187, 224"
490G00003029,490G00003029,Abbey Road,51.53867,-0.27916,bus,112
490G00006898,490G00006898,Abbey Road,51.48939,0.12407,bus,"301, B11, 469"
490G00007938,490G00007938,Abbey Road,51.41611,-0.18536,bus,"N155, 219, 200, 57, 655, 131, 152"
490003030N,490003030N,Abbey Road Studios / Grove End Road,51.53244,-0.17784,bus,"189, 139"
490G00003030,490G00003030,Abbey Road Studios / Grove End Road,51.53244,-0.17784,bus,"139, 189"
490003032S,490003032S,Abbey School,51.54777,0.0928,bus,145
490G00003032,490G00003032,Abbey School,51.54777,0.0928,bus,145
490003033W,490003033W,Abbey Sports Centre,51.53479,0.07971,bus,"287, 368, 687, 62"
490G00003033,490G00003033,Abbey Sports Centre,51.53479,0.07971,bus,"687, 62, 368, 287"
490003035N,490003035N,Abbey Street,51.49899,-0.07926,bus,"78, 42, 188"
490003035S,490003035S,Abbey Street,51.49818,-0.07922,bus,"188, 42, 78"
490G00003035,490G00003035,Abbey Street,51.49899,-0.07926,bus,"78, 42, 188"
490006877L,490006877L,Abbey Wood / Florence Road,51.48969,0.1227,bus,"669, SL3, B11, 229, 301, 602, 469"
490G000518,490G000518,Abbey Wood / Florence Road,51.48969,0.1227,bus,"469, 669, 301, 602, B11, SL3, 229"
490003037E,490003037E,Abbey Wood Lane,51.52947,0.21338,bus,"652, 165, 287"
490G00003037,490G00003037,Abbey Wood Lane,51.52947,0.21338,bus,"165, 287, 652"
490003038E,490003038E,Abbey Wood Pumping Station,51.4975,0.1111,bus,469
490012529W,490012529W,Abbey Wood Pumping Station,51.49789,0.11256,bus,469
490G00003038,490G00003038,Abbey Wood Pumping Station,51.49789,0.11256,bus,469
490003039E,490003039E,Abbey Wood Road,51.48934,0.12118,bus,"469, 472, 602, 669, 301, 229, 244, B11"
