station_name,latitude,longitude,mode,lines,station_id
Abbeville Road,51.45264,-0.14249,,"355, 50",490004889E
Abbeville Road,51.45273,-0.1429,,"355, 50",490004889W
Abbey Lane,51.53378,-0.00718,,"108, 25, 276, 425, D8, N205, N25, N8",490003025W
Abbey Road,51.41598,-0.18575,,"131, 152, 200, 219, 57, 655, N155",490007938E
Abbey Road,51.41611,-0.18536,,"131, 152, 200, 219, 57, 655, N155",490007938F
Abbey Road,51.48939,0.12407,,"301, 469, B11",490006877S
Abbey Road,51.52935,-0.2699,,"187, 224, 226",490003028E
Abbey Road,51.53867,-0.27916,,112,490003029W
Abbey Road,51.53918,-0.18908,,"31, N28, N31",490003027E
Abbey Road,51.53997,-0.18668,,"31, N28, N31",490003027W
Abbey Road DLR Station,51.531926,0.003737,dlr,DLR,940GZZDLABR
Abbey Road Studios / Grove End Road,51.53244,-0.17784,,"139, 189",490003030N
Abbey School,51.54777,0.0928,,145,490003032S
Abbey Sports Centre,51.53479,0.07971,,"287, 368, 62, 687",490003033W
Abbey Street,51.49818,-0.07922,,"188, 42, 78",490003035S
Abbey Street,51.49899,-0.07926,,"188, 42, 78",490003035N
Abbey Wood,51.491247,0.121057,elizabeth-line,"180, 229, 244, 301, 469, 472, 602, 669, B11, Elizabeth line, N1, SL3, Southeastern, Thameslink",HUBABW
Abbey Wood / Florence Road,51.48969,0.1227,,"229, 301, 469, 602, 669, B11, SL3",490006877L
Abbey Wood Lane,51.52947,0.21338,,"165, 287, 652",490003037E
Abbey Wood Pumping Station,51.4975,0.1111,,469,490003038E
Abbey Wood Pumping Station,51.49789,0.11256,,469,490012529W
Abbey Wood Road,51.48934,0.12118,,"229, 244, 301, 469, 472, 602, 669, B11",490003039E
Abbey Wood Road,51.48936,0.12143,,"229, 244, 301, 469, 472, 602, 669, B11",490003039G
Abbey Wood Station,51.49163,0.12143,,"180, 229, 244, 301, 469, 472, 602, 669, B11, N1, SL3",490001001Y
Abbots Gardens,51.58919,-0.16985,,"143, 653, H3, N20",490003043W
Abbots Lane,51.50418,-0.08188,,"343, 381, 47, N199, N381",4900R0049J
Abbots Road,51.6079,-0.26537,,,490014306N1
Abbots Way,51.39312,-0.04109,,"194, 356, 358",490003046W
Abbots Way,51.39323,-0.04143,,"194, 356, 358",490003046S
Abbotsbury Road,51.39513,-0.19282,,470,490010026S2
Abbotsbury Road,51.39545,-0.19323,,470,490010026N1
Abbotsford Avenue,51.58407,-0.09012,,"341, 67",490003042S
Abbotsford Avenue,51.58448,-0.08994,,"341, 67",490003042N
Abbott Road,51.51254,-0.00093,,"115, N15, N551",490003047W
Abbott Road,51.51281,-0.00104,,"115, 309, D8, N15, N551",490003047E
Abbott Road,51.51466,-0.00819,,D8,490003315I
Abbotts Road,51.51192,-0.38252,,"207, 427, N207",490010341G
Abbs Cross Academy,51.55342,0.2062,,"165, 365, 372",490003050W
Abbs Cross Academy,51.55362,0.20641,,"165, 365, 372",490003050E
Abbs Cross Gardens,51.56228,0.21257,,"165, 365, 372",490003049S
Abbs Cross Lane,51.5628,0.21169,,"193, 248, 365",490003049W
Abbs Cross Lane,51.56309,0.21461,,"165, 193, 248, 365, 372",490003049E
Aberconway Road,51.40146,-0.19104,,"157, 45, 470, N133",490010060W
Abercorn Road,51.60599,-0.307,,186,490003051E
Abercorn Road,51.60603,-0.30629,,186,490003051W
Abercorn Road,51.60664,-0.20706,,221,490003052N
Aberdeen Park,51.55056,-0.09823,,"19, 236, 263, 4, N19",490003053N
Aberdeen Road,51.36589,-0.09897,,"119, 166, 312, 405, 407, 412, 466, 468, 60, 645, N68",490013269S
Aberdeen Road,51.55306,-0.2425,,226,490003054W
Aberdeen Road,51.55308,-0.24184,,226,490003054E
Aberfoyle Road,51.41725,-0.1369,,"45, 60, N133",490003057S2
Abingdon Street,51.49759,-0.12561,,"87, N87",490003059E
Abinger Grove,51.48355,-0.03112,,"188, 199, 47, N1, N199",490007585E
Abinger Grove,51.48364,-0.03149,,"188, 199, 47, N1, N199",490007585W
Abinger Road,51.49679,-0.25005,,"272, 94",490003060W
Abinger Road,51.49697,-0.24967,,"272, 94",490003060E
Abney Park,51.56218,-0.07801,,"393, 476, 73, N73",490004202W
Abney Park,51.56226,-0.07828,,"393, 476, 73, N73",490004202E
Aboyne Road,51.56407,-0.25154,,112,490007991E
Acacia Road,51.40667,-0.1536,,"463, 633",490018877S
Acacia Road,51.40679,-0.15385,,"463, 633",490018877N
Acacia Road,51.42588,-0.37256,,"111, R70",490003064W
Acacia Road,51.42592,-0.37204,,"111, R70",490003064E1
Acacia Road,51.51305,-0.27003,,"266, 440, N266",490003063S
Acacia Road,51.51368,-0.26979,,"266, 440, N266",490003063N
Academy Road / Shooters Hill Road,51.47201,0.05506,,122,490012108N
Acer Avenue,51.52272,0.21748,,"165, 287, 652",490003066W
Acer Avenue,51.52283,0.21783,,"165, 287, 652",490003066E
Ackroyd Drive,51.51791,-0.03027,,"277, D6, D7, N277",490013846N
Ackroyd Drive,51.5202,-0.02611,,323,490016349X
Ackroyd Drive,51.52037,-0.02613,,323,490016349E
Acland Burghley School,51.55734,-0.13889,,4,490008592E
Acorn Gardens,51.4098,-0.0812,,410,490003069S
Acton Central Rail Station,51.508716,-0.262971,overground,Mildmay,910GACTNCTL
Acton Central Station,51.50647,-0.26405,,"207, 218, 70, N207, N266, N7, SL8",490001002J
Acton Central Station,51.50655,-0.26287,,"207, 218, 70, N207, N266, N7, SL8",490001002H
Acton Fire Station,51.50744,-0.27705,,"70, E3, N11",490003075Q
Acton Green,51.4961,-0.26447,,94,490003076W
Acton Green,51.49638,-0.26425,,94,490003076C
Acton Lane,51.52879,-0.26803,,"260, 440, 487",490003078S
Acton Lane,51.53441,-0.24808,,"220, 228, 266, 487, N266",490003079R
Acton Main Line Rail Station,51.51718,-0.266756,elizabeth-line,Elizabeth line,910GACTONML
Acton Main Line Station,51.51759,-0.26592,,"266, 440, N266",490001003H
Acton Main Line Station,51.51785,-0.26631,,"260, 266, 440, N266",490001003J
Acton Market Place,51.50852,-0.27148,,,490000042Z2
Acton Market Place,51.50914,-0.27173,,,490015559M
Acton Old Town Hall,51.50628,-0.26815,,,490003088L
Acton Old Town Hall,51.5067,-0.26891,,"207, 218, 266, 440, 70, E3, N11, N207, N266, N7, SL8",490003083G
Acton Old Town Hall,51.50675,-0.26725,,"207, 218, 266, 440, 70, E3, N11, N207, N266, N7, SL8",490003083F
Acton Old Town Hall / Salisbury Street,51.50588,-0.2674,,266,490003088K
Acton Park,51.50637,-0.261,,"207, 218, 70, N207, N266, N7",490003084W
Acton Park,51.5066,-0.2603,,"207, 218, 70, N207, N266, N7",490003084E
Acton Park / Greenview Close,51.50701,-0.2569,,"70, N7",490015431S
Acton Park / Greenview Close,51.50715,-0.25714,,"70, N7",490015431N
Acton Street,51.52761,-0.11872,,"17, 46",490012149N
Acton Street,51.52835,-0.11809,,"17, 46",490003087W1
Acton Street,51.52858,-0.11697,,"17, 46, 63, N63",490003087W2
Acton Street,51.52858,-0.11564,,"63, N63",490008771S
Acton Town Station,51.50273,-0.28101,,"E3, N11",490000002A
Acton Town Station,51.5028,-0.27925,,,49000002SE
Acton Town Station,51.50293,-0.28071,,,490000002RB7
Acton Town Station,51.50402,-0.27986,,"70, E3, N11",490000002B
Acton Town Station  / Enfield Road,51.50233,-0.27886,,70,490020303S
Acton Town Underground Station,51.503057,-0.280462,tube,"70, District, E3, N11, Piccadilly",940GZZLUACT
Acton Vale / Bromyard Avenue,51.50663,-0.25142,,"207, 218, 272, 306, N207, N266, SL8",490004438W
Acton Vale / Bromyard Avenue,51.50679,-0.25241,,"207, 218, 272, 306, N207, N266, SL8",490004438E
Ada Street,51.53574,-0.06157,,394,490016378E
Adamsrill Road,51.43111,-0.03854,,356,490003091S
Addington Park,51.35391,-0.03778,,"130, 466",490003094E
Addington Park,51.35396,-0.03892,,"130, 466",490003094W
Addington Road / Glebe Way,51.37052,-0.0022,,"119, 314, 353, 654, 664",490003099W
Addington Road / Glebe Way,51.37074,-0.00204,,"119, 138, 246, 314, 353, 638, 654, 664",490003099N
Addington Road / Pumping Station,51.36391,-0.01843,,"314, 353, 654, 664",490003095W
Addington Road / Pumping Station,51.36406,-0.01834,,"314, 353, 654, 664",490003095E
Addington Street,51.50126,-0.1161,,,490020287E
Addington Village,51.35649,-0.0324,,,4900ZZCRADV
Addington Village Interchange,51.35639,-0.03257,,"130, 314, 353, 359, 433, 466, 64, 654, 664",490003101E
Addington Village Interchange,51.35647,-0.03204,,"130, 314, 64, 664",490003101A
Addington Village Interchange,51.3565,-0.03211,,"314, 353, 654, 664",490003101B
Addington Village Interchange,51.35656,-0.03232,,"353, 359, 433",490003101C
Addington Village Interchange,51.35658,-0.03239,,"130, 466, 64",490003101D
Addington Village Tram Stop,51.356241,-0.032694,,"130, 314, 353, 359, 433, 466, 64, 654, 664, Tram",940GZZCRADV
Addiscombe,51.38021,-0.07304,,,4900ZZCRADD1
