commonName,lat,lon,is_pure_bus,id,lines
Abbeville Road,51.45264,-0.14249,1,490004889E,"355, 50"
Abbeville Road,51.45273,-0.1429,1,490004889W,"355, 50"
Abbey Lane,51.53378,-0.00718,1,490003025W,"108, 25, 276, 425, D8, N205, N25, N8"
Abbey Road,51.41598,-0.18575,1,490007938E,"131, 152, 200, 219, 57, 655, N155"
Abbey Road,51.41611,-0.18536,1,490007938F,"131, 152, 200, 219, 57, 655, N155"
Abbey Road,51.48939,0.12407,1,490006877S,"301, 469, B11"
Abbey Road,51.52935,-0.2699,1,490003028E,"187, 224, 226"
Abbey Road,51.53867,-0.27916,1,490003029W,112
Abbey Road,51.53918,-0.18908,1,490003027E,"31, N28, N31"
Abbey Road,51.53997,-0.18668,1,490003027W,"31, N28, N31"
Abbey Road Studios / Grove End Road,51.53244,-0.17784,1,490003030N,"139, 189"
Abbey School,51.54777,0.0928,1,490003032S,145
Abbey Sports Centre,51.53479,0.07971,1,490003033W,"287, 368, 62, 687"
Abbey Street,51.49818,-0.07922,1,490003035S,"188, 42, 78"
Abbey Street,51.49899,-0.07926,1,490003035N,"188, 42, 78"
Abbey Wood,51.491247,0.121057,0,HUBABW,"180, 229, 244, 301, 469, 472, 602, 669, B11, Elizabeth line, N1, SL3, Southeastern, Thameslink"
Abbey Wood / Florence Road,51.48969,0.1227,1,490006877L,"229, 301, 469, 602, 669, B11, SL3"
Abbey Wood Lane,51.52947,0.21338,1,490003037E,"165, 287, 652"
Abbey Wood Pumping Station,51.4975,0.1111,1,490003038E,469
Abbey Wood Pumping Station,51.49789,0.11256,1,490012529W,469
Abbey Wood Road,51.48934,0.12118,1,490003039E,"229, 244, 301, 469, 472, 602, 669, B11"
Abbey Wood Road,51.48936,0.12143,1,490003039G,"229, 244, 301, 469, 472, 602, 669, B11"
Abbey Wood Station,51.49163,0.12143,1,490001001Y,"180, 229, 244, 301, 469, 472, 602, 669, B11, N1, SL3"
Abbots Gardens,51.58919,-0.16985,1,490003043W,"143, 653, H3, N20"
Abbots Lane,51.50418,-0.08188,1,4900R0049J,"343, 381, 47, N199, N381"
Abbots Road,51.6079,-0.26537,1,490014306N1,
Abbots Way,51.39312,-0.04109,1,490003046W,"194, 356, 358"
Abbots Way,51.39323,-0.04143,1,490003046S,"194, 356, 358"
Abbotsbury Road,51.39513,-0.19282,1,490010026S2,470
Abbotsbury Road,51.39545,-0.19323,1,490010026N1,470
Abbotsford Avenue,51.58407,-0.09012,1,490003042S,"341, 67"
Abbotsford Avenue,51.58448,-0.08994,1,490003042N,"341, 67"
Abbott Road,51.51254,-0.00093,1,490003047W,"115, N15, N551"
Abbott Road,51.51281,-0.00104,1,490003047E,"115, 309, D8, N15, N551"
Abbott Road,51.51466,-0.00819,1,490003315I,D8
Abbotts Road,51.51192,-0.38252,1,490010341G,"207, 427, N207"
Abbs Cross Academy,51.55342,0.2062,1,490003050W,"165, 365, 372"
Abbs Cross Academy,51.55362,0.20641,1,490003050E,"165, 365, 372"
Abbs Cross Gardens,51.56228,0.21257,1,490003049S,"165, 365, 372"
Abbs Cross Lane,51.5628,0.21169,1,490003049W,"193, 248, 365"
Abbs Cross Lane,51.56309,0.21461,1,490003049E,"165, 193, 248, 365, 372"
Aberconway Road,51.40146,-0.19104,1,490010060W,"157, 45, 470, N133"
Abercorn Road,51.60599,-0.307,1,490003051E,186
Abercorn Road,51.60603,-0.30629,1,490003051W,186
Abercorn Road,51.60664,-0.20706,1,490003052N,221
Aberdeen Park,51.55056,-0.09823,1,490003053N,"19, 236, 263, 4, N19"
Aberdeen Road,51.36589,-0.09897,1,490013269S,"119, 166, 312, 405, 407, 412, 466, 468, 60, 645, N68"
Aberdeen Road,51.55306,-0.2425,1,490003054W,226
Aberdeen Road,51.55308,-0.24184,1,490003054E,226
Aberfoyle Road,51.41725,-0.1369,1,490003057S2,"45, 60, N133"
Abingdon Street,51.49759,-0.12561,1,490003059E,"87, N87"
Abinger Grove,51.48355,-0.03112,1,490007585E,"188, 199, 47, N1, N199"
Abinger Grove,51.48364,-0.03149,1,490007585W,"188, 199, 47, N1, N199"
Abinger Road,51.49679,-0.25005,1,490003060W,"272, 94"
Abinger Road,51.49697,-0.24967,1,490003060E,"272, 94"
Abney Park,51.56218,-0.07801,1,490004202W,"393, 476, 73, N73"
Abney Park,51.56226,-0.07828,1,490004202E,"393, 476, 73, N73"
Aboyne Road,51.56407,-0.25154,1,490007991E,112
Acacia Road,51.40667,-0.1536,1,490018877S,"463, 633"
Acacia Road,51.40679,-0.15385,1,490018877N,"463, 633"
Acacia Road,51.42588,-0.37256,1,490003064W,"111, R70"
Acacia Road,51.42592,-0.37204,1,490003064E1,"111, R70"
Acacia Road,51.51305,-0.27003,1,490003063S,"266, 440, N266"
Acacia Road,51.51368,-0.26979,1,490003063N,"266, 440, N266"
Academy Road / Shooters Hill Road,51.47201,0.05506,1,490012108N,122
Acer Avenue,51.52272,0.21748,1,490003066W,"165, 287, 652"
Acer Avenue,51.52283,0.21783,1,490003066E,"165, 287, 652"
Ackroyd Drive,51.51791,-0.03027,1,490013846N,"277, D6, D7, N277"
Ackroyd Drive,51.5202,-0.02611,1,490016349X,323
Ackroyd Drive,51.52037,-0.02613,1,490016349E,323
Acland Burghley School,51.55734,-0.13889,1,490008592E,4
Acorn Gardens,51.4098,-0.0812,1,490003069S,410
Acton Central Station,51.50647,-0.26405,1,490001002J,"207, 218, 70, N207, N266, N7, SL8"
Acton Central Station,51.50655,-0.26287,1,490001002H,"207, 218, 70, N207, N266, N7, SL8"
Acton Fire Station,51.50744,-0.27705,1,490003075Q,"70, E3, N11"
Acton Green,51.4961,-0.26447,1,490003076W,94
Acton Green,51.49638,-0.26425,1,490003076C,94
Acton Lane,51.52879,-0.26803,1,490003078S,"260, 440, 487"
Acton Lane,51.53441,-0.24808,1,490003079R,"220, 228, 266, 487, N266"
Acton Main Line Station,51.51759,-0.26592,1,490001003H,"266, 440, N266"
Acton Main Line Station,51.51785,-0.26631,1,490001003J,"260, 266, 440, N266"
Acton Market Place,51.50852,-0.27148,1,490000042Z2,
Acton Market Place,51.50914,-0.27173,1,490015559M,
Acton Old Town Hall,51.50628,-0.26815,1,490003088L,
Acton Old Town Hall,51.5067,-0.26891,1,490003083G,"207, 218, 266, 440, 70, E3, N11, N207, N266, N7, SL8"
Acton Old Town Hall,51.50675,-0.26725,1,490003083F,"207, 218, 266, 440, 70, E3, N11, N207, N266, N7, SL8"
Acton Old Town Hall / Salisbury Street,51.50588,-0.2674,1,490003088K,266
Acton Park,51.50637,-0.261,1,490003084W,"207, 218, 70, N207, N266, N7"
Acton Park,51.5066,-0.2603,1,490003084E,"207, 218, 70, N207, N266, N7"
Acton Park / Greenview Close,51.50701,-0.2569,1,490015431S,"70, N7"
Acton Park / Greenview Close,51.50715,-0.25714,1,490015431N,"70, N7"
Acton Street,51.52761,-0.11872,1,490012149N,"17, 46"
Acton Street,51.52835,-0.11809,1,490003087W1,"17, 46"
Acton Street,51.52858,-0.11697,1,490003087W2,"17, 46, 63, N63"
Acton Street,51.52858,-0.11564,1,490008771S,"63, N63"
Acton Town Station,51.50273,-0.28101,1,490000002A,"E3, N11"
Acton Town Station,51.5028,-0.27925,1,49000002SE,
Acton Town Station,51.50293,-0.28071,1,490000002RB7,
Acton Town Station,51.50402,-0.27986,1,490000002B,"70, E3, N11"
Acton Town Station  / Enfield Road,51.50233,-0.27886,1,490020303S,70
Acton Town Underground Station,51.503057,-0.280462,0,940GZZLUACT,"70, District, E3, N11, Piccadilly"
Acton Vale / Bromyard Avenue,51.50663,-0.25142,1,490004438W,"207, 218, 272, 306, N207, N266, SL8"
Acton Vale / Bromyard Avenue,51.50679,-0.25241,1,490004438E,"207, 218, 272, 306, N207, N266, SL8"
Ada Street,51.53574,-0.06157,1,490016378E,394
Adamsrill Road,51.43111,-0.03854,1,490003091S,356
Addington Park,51.35391,-0.03778,1,490003094E,"130, 466"
Addington Park,51.35396,-0.03892,1,490003094W,"130, 466"
Addington Road / Glebe Way,51.37052,-0.0022,1,490003099W,"119, 314, 353, 654, 664"
Addington Road / Glebe Way,51.37074,-0.00204,1,490003099N,"119, 138, 246, 314, 353, 638, 654, 664"
Addington Road / Pumping Station,51.36391,-0.01843,1,490003095W,"314, 353, 654, 664"
Addington Road / Pumping Station,51.36406,-0.01834,1,490003095E,"314, 353, 654, 664"
Addington Street,51.50126,-0.1161,1,490020287E,
Addington Village,51.35649,-0.0324,0,4900ZZCRADV,
Addington Village Interchange,51.35639,-0.03257,1,490003101E,"130, 314, 353, 359, 433, 466, 64, 654, 664"
Addington Village Interchange,51.35647,-0.03204,1,490003101A,"130, 314, 64, 664"
Addington Village Interchange,51.3565,-0.03211,1,490003101B,"314, 353, 654, 664"
Addington Village Interchange,51.35656,-0.03232,1,490003101C,"353, 359, 433"
Addington Village Interchange,51.35658,-0.03239,1,490003101D,"130, 466, 64"
Addington Village Tram Stop,51.356241,-0.032694,0,940GZZCRADV,"130, 314, 353, 359, 433, 466, 64, 654, 664, Tram"
Addiscombe,51.38021,-0.07304,0,4900ZZCRADD1,
Addiscombe Road,51.37601,-0.09108,1,490001089E5,"197, 312, 367, 410, 689"
Addiscombe Tram Stop,51.37948,-0.07307,0,4900ZZCRADD0,
Addiscombe Tram Stop,51.37981,-0.073242,0,940GZZCRADD,"119, 194, 198, 466, Tram"
Addiscombe Tram Stop,51.38005,-0.07382,1,490002002B,"289, 312, 367, 689"
Addiscombe Tram Stop,51.38044,-0.07245,1,490002002A,"289, 312, 367, 689"
Addison Road,51.58317,-0.00725,1,490003107S,"W12, W16"
Addison Road,51.58324,-0.00746,1,490003107N,"W12, W16"
Addison Way,51.58793,-0.19977,1,490003108S,"102, 13, 460"
Adelaide Avenue / Montague Avenue,51.45902,-0.02885,1,490009988E,122
Adelaide Avenue / St Margaret's Road,51.45904,-0.03118,1,490009988W1,122
Adelaide Grove,51.50637,-0.23676,1,490003110W,"207, 228, 260, 283, N207, SL8"
Adelaide Grove,51.50652,-0.23751,1,490003110E,"207, 228, 260, 283, N207, SL8"
Adelaide Road,51.4993,-0.38279,1,490014608C,"120, E5"
Adelphi Crescent,51.53245,-0.42294,1,490003111N,"195, U7"
Adelphi Crescent,51.53338,-0.42503,1,490003111S,"195, U7"
Adelphi Way,51.53204,-0.42196,1,490003113S,"195, U7"
Aden Grove,51.55333,-0.08802,1,490003114S,"141, 341"
