Route,Score,End,End Exit Volume,Start,End Clean
"['Leicester Square', 'Tottenham Court Road', 'Oxford Circus', 'Bond Street', 'Green Park', 'Victoria LU']",1553579.455252202,Victoria LU,86723.86782461665,Leicester Square,Victoria LU
"['Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1483416.497560095,King's Cross St. Pancras,122827.76544140621,Farringdon,King's Cross St. Pancras
"['Leicester Square', 'Tottenham Court Road', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1483416.497560095,King's Cross St. Pancras,122827.76544140621,Leicester Square,King's Cross St. Pancras
"['Bond Street', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU', 'Bank and Monument']",1482658.2721876581,Bank and Monument,54480.33995698597,Bond Street,Bank and Monument
"['Victoria LU', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street', 'Paddington TfL']",1453983.8827124569,Paddington TfL,81178.24734898907,Victoria LU,Paddington TfL
"['Farringdon', 'Tottenham Court Road', 'Oxford Circus', '[TRANSFER→]Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1429866.489961483,King's Cross St. Pancras,122827.76544140621,Farringdon,King's Cross St. Pancras
"['Bond Street', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1396390.0444994003,Liverpool Street LU,74058.98826547644,Bond Street,Liverpool Street LU
"['Victoria LU', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1396390.0444994003,Liverpool Street LU,74058.98826547644,Victoria LU,Liverpool Street LU
"['Piccadilly Circus', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1396390.0444994003,Liverpool Street LU,74058.98826547644,Piccadilly Circus,Liverpool Street LU
"['Paddington TfL', 'Bond Street', 'Tottenham Court Road', 'Farringdon', ""King's Cross St. Pancras"", 'Euston LU']",1395853.6887153145,Euston LU,51663.66156684396,Paddington TfL,Euston LU
"['Liverpool Street LU', 'Farringdon', 'Tottenham Court Road', 'Bond Street', 'Oxford Circus', 'Green Park']",1394701.5541647866,Green Park,50979.93327935799,Liverpool Street LU,Green Park
